DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,electrode
0.7737829472771325,0.2618341970880087,2.881623876855185,8,0.1419869224180941,-0.004629381600318343,0.9088257354779565,35.0,0.0007721711196533358,17,0.2421983767513199,3.0,0.6,0.39775000000000005,0.40408333333333335,0.834549493406435,16.0,1.790974977199009,0.2,0.44,0.3516650956228064,0.7951187175754436,hup_elec_0
-0.8955106600922844,0.28030460667950374,3.0414124466528754,9,0.2189802409463975,0.003264229694813535,0.8797399783315276,48.0,0.0023371903083836687,17,0.34887656853218435,3.0,0.8,0.49391666666666656,0.4977083333333333,0.8862128931563654,15.0,1.6915972997927868,0.16,0.54,0.35128160042583495,0.7566785397273753,hup_elec_1
-0.3575279558920531,0.1292131480869701,2.8570856052921614,8,0.17431870945245875,0.01621562526884259,0.8416534711225936,33.0,0.0033932785318879404,17,0.27780482336025775,3.0,0.6,0.37250000000000005,0.37516666666666665,0.7988813263333551,16.0,1.726205299552276,0.54,0.5,0.35089810522886355,0.7981365412204333,hup_elec_2
-0.08837195907145545,0.3819235063580945,3.228962806232821,8,0.18281975240200943,-0.014701814778510808,0.9109925827152263,42.0,0.000745238958639325,16,0.40377560563197396,3.0,0.8,0.24275000000000002,0.20562500000000006,0.9407659802044542,18.0,1.700685604700599,0.16,0.46,0.35741752357737794,0.7196492023306756,hup_elec_3
0.5614649879104145,0.1531299822380724,3.0972331013679333,8,0.2094851410348692,-0.011959655803113044,0.9009917493124427,28.0,0.0013521682387808867,16,0.3003669901542199,3.0,0.8,0.2889166666666667,0.2673333333333334,0.9242602506757427,16.0,1.7030481096312666,0.16,0.5,0.3578010187743494,0.7442758434620543,hup_elec_4
-0.49812765161315076,-0.09461902499790353,3.0076745662111417,8,0.19548480322700024,-0.020985422971091603,0.8955746312192683,35.0,0.0024640320989657866,17,0.29270218550140376,3.0,0.8,0.371,0.35683333333333334,0.8940399288506241,14.0,1.7044629554656383,0.18,0.52,0.35434956200160644,0.7635799348949631,hup_elec_5
-0.5830757912797335,-0.13085707004100333,3.0000863747554245,8,0.18420782089388457,-0.04809641586844938,0.8798233186098842,32.0,0.0028556778468727673,17,0.29136030480481073,3.0,0.6,0.3804166666666666,0.39050000000000007,0.8780568435887803,17.0,1.719665791718811,0.16,0.52,0.3493641244409778,0.7668766687564605,hup_elec_6
-0.2434610949368886,0.22100004533585033,3.4900628455534366,9,0.2152918422420159,-0.01701936968557455,0.8974914576214684,67.0,0.0004703571604188976,17,0.41629413861755044,4.0,0.8,0.3885833333333333,0.42133333333333334,0.9268418966655371,14.0,1.708144069835985,0.54,0.5,0.34783014365309206,0.6825171741032614,hup_elec_7
-0.2627519011394214,0.1972909048392792,3.454924272386516,8,0.1972407322985532,0.0016033045273004239,0.9082423535294608,48.0,0.000226577664272716,17,0.42218248347737464,4.0,0.8,0.3606666666666667,0.39512499999999995,0.9291516154608067,15.0,1.7173906656244604,0.2,0.48,0.3485971340470349,0.6909439925312463,hup_elec_8
-0.10652267345329214,0.34964353195544756,3.6114686553068696,9,0.2130108226989445,0.00605328524549707,0.9090757563130261,50.0,0.0018897225834861738,17,0.39177458455528436,4.0,0.6666666666666666,0.3540000000000001,0.3580416666666667,0.9422542828584581,16.0,1.7058543003256725,0.5,0.44,0.3405437349106348,0.6659670537980261,hup_elec_9
