roiNum,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts,roi
10,0.2329280545792723,0.1909450998251031,0.1267534328317746,0.1069497067614673,0.0621860499673886,0.2802376560349939,0.6629261585240207,0.7921306598453794,Left-Thalamus-Proper
11,0.2092073390935307,0.1712453727762357,0.1378532832890354,0.1356225816252141,0.0737253593061879,0.272346063909796,0.6625221088513993,0.7916974328428944,Left-Caudate
12,0.206440536496244,0.1712463574086973,0.1415395602813092,0.1381018609934663,0.0946710072540147,0.2480006775662683,0.6626577282120323,0.7918427916772768,Left-Putamen
13,0.2240622825217558,0.1862069720747006,0.142603829908861,0.1188319406372693,0.0708194738874705,0.2574755009699425,0.662765033817081,0.7919580236269531,Left-Pallidum
17,0.20791156989243,0.1714642525370753,0.1453963435806619,0.1408170855570876,0.1046119943297404,0.2297987541030046,0.6672864022425661,0.7967956112575824,Left-Hippocampus
18,0.2112579895057263,0.1718267877969942,0.1418636153311652,0.1364009232364719,0.1045757497800436,0.2340749343495987,0.6667261965752971,0.7961979389953383,Left-Amygdala
50,0.1960974054641428,0.1686469427272287,0.1478734084676438,0.1456788720273784,0.0641731199988253,0.2775302513147807,0.6647219805300099,0.7940528213466964,Right-Caudate
51,0.2026677264365518,0.1622744246175834,0.1312687711098382,0.154720153625861,0.0803819736232883,0.2686869505868772,0.6628517967887572,0.7920501423101399,Right-Putamen
52,0.1909674699357072,0.1504436514069764,0.1442109335510126,0.1708836752698655,0.105397524027859,0.2380967458085792,0.661333993014005,0.7904244350676888,Right-Pallidum
53,0.2046295756080739,0.169758686077247,0.1450205109267352,0.1446374533517803,0.1114002853820137,0.2245534886541496,0.6664209257511179,0.7958706701931045,Right-Hippocampus
54,0.2113745777024323,0.1742238669493613,0.1446282973087509,0.1364779771255906,0.1020800742345436,0.2312152066793212,0.6676552068719761,0.7971907428204801,Right-Amygdala
58,0.2290035525861986,0.1519664833478319,0.1344032348674463,0.121670845494435,0.0548674551928938,0.3080884285111942,0.6632146628966819,0.7924397462804237,Right-Accumbens-area
1001,0.1924934634510217,0.1719133668689975,0.1602489150476558,0.1505312345312315,0.0967821131010475,0.2280309070000458,0.6657473941934787,0.7951514515882749,ctx-lh-bankssts
1002,0.1494172064760245,0.0681490071228837,0.0707020786358338,0.2843513854488322,0.0490380476253796,0.3783422746910458,0.6634390286680188,0.7926801594105104,ctx-lh-caudalanteriorcingulate
1003,0.187415486149148,0.1737714472056048,0.1479994979586718,0.1564460190182886,0.1064847093646223,0.2278828403036643,0.6672915804346113,0.7968020214995235,ctx-lh-caudalmiddlefrontal
1005,0.1990738112003959,0.1723576697344314,0.1526923060529792,0.142516264495236,0.1123584127856796,0.2210015357312779,0.6648070186226276,0.7941451542805394,ctx-lh-cuneus
1006,0.2130934565343277,0.1826476656320668,0.141134468585569,0.1326653369439643,0.0951625281824475,0.2352965441216245,0.6656225269355905,0.7950158817517754,ctx-lh-entorhinal
1007,0.1980512762731572,0.1752952513295576,0.157024558003718,0.1434116764283194,0.0975595695765104,0.2286576683887371,0.6668673681824987,0.7963502809497078,ctx-lh-fusiform
1008,0.203486634206152,0.1757706763710187,0.1583515797369226,0.1420003113406028,0.0836596033467635,0.2367311949985402,0.6679309759876134,0.7974878881526052,ctx-lh-inferiorparietal
1009,0.2005692499043938,0.1757512737444208,0.1618222305201536,0.1443522683901584,0.0886037050086944,0.2289012724321789,0.668438977826908,0.7980325284299226,ctx-lh-inferiortemporal
1010,0.1912246239019272,0.1644737822118001,0.1518004443200586,0.1567807430598647,0.1114871572780428,0.2242332492283064,0.6651520634266602,0.7945143458937304,ctx-lh-isthmuscingulate
1011,0.1706923224022727,0.1678225018606927,0.1711349634684782,0.1583657107359641,0.1237998665529053,0.2081846349796868,0.6687999915323405,0.7984199300390945,ctx-lh-lateraloccipital
1012,0.1910306658583757,0.1734113014047789,0.1527137601970704,0.1518693861055527,0.1049899465371552,0.2259849398970668,0.6648310965787706,0.7941681738334955,ctx-lh-lateralorbitofrontal
1013,0.1646546015909437,0.1581756200426044,0.1699299650423652,0.1703531272120284,0.1308508489114814,0.2060358372005767,0.6664856378824586,0.7959429861211677,ctx-lh-lingual
1014,0.2080081347957552,0.1776377504004467,0.147452303351289,0.1367287798941015,0.0973417793399916,0.2328312522184157,0.6674368236395001,0.7969577984346002,ctx-lh-medialorbitofrontal
1015,0.2123082789351956,0.177870024694451,0.1537652934020685,0.1365603929033851,0.0829386222224806,0.2365573878424189,0.6678895487266672,0.7974440810931145,ctx-lh-middletemporal
1016,0.2035687554839008,0.1779502016338802,0.1584355851473338,0.1398801382561962,0.0953359377198332,0.2248293817588555,0.6660898459241761,0.7955190051537363,ctx-lh-parahippocampal
1017,0.196443126859257,0.1872956574525381,0.1694862741952009,0.1392323738623258,0.0809739757142556,0.2265685919164225,0.6658114599189198,0.7952208745295953,ctx-lh-paracentral
1018,0.1866595366418547,0.1678150568675162,0.1512227379257401,0.1626280914913239,0.1056377294122543,0.2260368476613106,0.6633192027436439,0.7925505792010178,ctx-lh-parsopercularis
1019,0.1902029704893446,0.1700551357719841,0.1501257611261875,0.1526234256151721,0.1225281635313879,0.2144645434659235,0.6683162375403839,0.7978984512091545,ctx-lh-parsorbitalis
1020,0.191895450462582,0.1741406265113356,0.1495895309529396,0.1540744349370892,0.1059877073688813,0.224312249767172,0.6660731379706964,0.7954981056837552,ctx-lh-parstriangularis
