deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts
0.1257458374142952,0.1369732958159747,0.2132636276638435,0.1904088821150485,0.0916312075249848,0.241977149465853,0.6901626448826883,0.8212492319875928
0.1281947978421478,0.1398784299192255,0.2051753463069184,0.1881498425759664,0.0880312046975785,0.2505703786581632,0.6790742700772046,0.8094098315411866
0.1274506068532719,0.1427648250135698,0.226412782082809,0.1766361174265539,0.0752960023218346,0.2514396663019607,0.6745124778419223,0.8045330682141628
0.1465480658123211,0.1362503008739131,0.2306109132744589,0.1692402381125213,0.0660010910258752,0.2513493909009101,0.6709911922453862,0.8007662227188734
0.1789998469710919,0.1707799384065764,0.1668596687098184,0.1534318583414381,0.113723017690596,0.2162056698804789,0.6646846917798497,0.7940145721398412
0.1733911557890123,0.1960550915820795,0.1564957130415849,0.145087655028311,0.1097249853035521,0.2192453992554598,0.6636603817320963,0.7929173045403708
0.1655843442801786,0.2101399625706189,0.1605605006806886,0.1472645333718314,0.0893186117715214,0.2271320473251608,0.6652322263017298,0.7946010298485765
0.1656612768979419,0.1965274772494804,0.1610419971446155,0.1561962086506265,0.0988813450001456,0.22169169505719,0.6665136378841953,0.7959733293750577
0.1516204909724397,0.1978038360158482,0.1673038454096997,0.1659553368906431,0.0982859796696123,0.2190305110417569,0.6751171014041429,0.8051796419154137
0.2035362368504391,0.1839919175859857,0.1382509066684892,0.1570945775739988,0.0657779533306341,0.251348407990453,0.6629661390860603,0.7921735088222193
0.1912675016649947,0.1877526629313848,0.173829934454558,0.1370687423212673,0.0905244275084898,0.2195567311193053,0.6727222201186667,0.8026182314826835
0.1834117603975476,0.1744322598295578,0.1547639995798263,0.1570959443358702,0.1189589108713676,0.2113371249858304,0.6615768570100744,0.7906848084960129
0.1811451715052354,0.173618021688333,0.1560097462871137,0.1594186666047964,0.1193347225715797,0.2104736713429414,0.6608774207476529,0.7899351908248973
0.170718891934332,0.1697239569878892,0.1543146682010793,0.1732916049631943,0.1196174252378559,0.212333452675649,0.6605928258678001,0.7896301527357276
0.1687570402193995,0.1850458151647368,0.15553617636334,0.1729364928953807,0.1053668323843083,0.2123576429728345,0.6716752708253687,0.801498172959781
0.162930756916094,0.2035774781575129,0.1518570868780029,0.1559091521949468,0.1093343707774337,0.2163911550760096,0.663916670488812,0.7931918650255587
0.1756708378668326,0.2024146767624789,0.1600635751364584,0.1459973558104976,0.099854525393641,0.2159990290300912,0.6704593368302222,0.8001970923929921
0.1889117587126454,0.2008101755621661,0.1616770077923908,0.147812194130073,0.0791858337931367,0.2216030300095877,0.6722815578197368,0.8021468203926937
0.1725551878674693,0.1662082224136118,0.1569007069111925,0.1641703897498831,0.131249153746507,0.208916339311336,0.6602854255122994,0.7893006548555463
0.1652882257969413,0.1669978007359911,0.1580234155413603,0.1703399824971279,0.1331472826750021,0.2062032927535771,0.6613275377369959,0.790417611619276
0.1672664496315873,0.165657537162066,0.1529593893067133,0.1752935758864153,0.1310094891064183,0.2078135589067996,0.6644916903031606,0.7938078380215033
0.1722665256119657,0.1760617899368379,0.1556731254884126,0.1665842405933367,0.1241769313008369,0.2052373870686099,0.670280564838444,0.8000057802520457
0.1705241169667508,0.1838478218259511,0.151486453741959,0.1650178838486067,0.1226956060283986,0.2064281175883334,0.6721440330454679,0.8019996924987054
0.1672211588016923,0.1994520717600681,0.1687797737069045,0.1538305220587978,0.0967774830322022,0.2139389906403349,0.6780759878070821,0.8083429243698728
