roiNum,aperiodic_offset,aperiodic_exponent,r_squared,error,num_peaks,roi
11,3.6572191425657214,20365951.037493024,0.9610347028109939,0.06004620224652735,3.25,Left-Caudate
12,3.823768212613589,2054.3977504029426,0.9884106053232982,0.05276000287795477,2.5,Left-Putamen
17,3.8599476705404774,3048.662727453705,0.9861285153419186,0.05810859870656263,3.7916666666666665,Left-Hippocampus
18,3.218382126977781,45.12102795993594,0.9928262926396406,0.04812869988469229,5.0,Left-Amygdala
51,2.100888664229002,13.21350383444732,0.9880569183238194,0.04174061354501428,5.0,Right-Putamen
53,3.5943542898477467,770.4753125011667,0.9773728470081793,0.06310477845609466,3.6833333333333336,Right-Hippocampus
54,6.236023993155741,1.1147004208841843e+17,0.9787590492017679,0.050197893991381096,4.875,Right-Amygdala
1001,4.480831051257094,28983.11079073058,0.9885296396493595,0.05029804133508575,4.222916666666666,ctx-lh-bankssts
1002,4.773979554700003,8188095.745637173,0.9887457440991124,0.048201113168566394,4.583333333333333,ctx-lh-caudalanteriorcingulate
1003,5.1668910500853915,3556360.692011065,0.9753409669152477,0.05867551375896349,4.25,ctx-lh-caudalmiddlefrontal
1005,7.178534764973061,1947654.4332449662,0.9881776089424599,0.05598495673847471,3.6666666666666665,ctx-lh-cuneus
1007,5.869492838576265,135955180.75952196,0.9913369273576039,0.05178433348456008,4.361111111111111,ctx-lh-fusiform
1008,4.794460315514383,765593.0681554503,0.9783248744337361,0.06166261317132976,3.9666666666666672,ctx-lh-inferiorparietal
1009,5.275098902631042,1690193.2390052069,0.9878024339493998,0.05812490059966871,3.680769230769231,ctx-lh-inferiortemporal
1010,3.632201294744641,126701.75802212156,0.9855169144023399,0.04540848822420307,4.53030303030303,ctx-lh-isthmuscingulate
1011,5.233334916572127,19671.836409709013,0.9908664110338405,0.056689792191789976,4.083333333333333,ctx-lh-lateraloccipital
1012,3.190680965363,48712.64267072031,0.9866476098203011,0.047122899136310736,4.805555555555555,ctx-lh-lateralorbitofrontal
1013,6.427726919532353,85714.63987447675,0.991555872979259,0.05272685753586904,4.466666666666667,ctx-lh-lingual
1014,3.2054940549022946,55727.54388329615,0.9847870514170066,0.04777123527846682,4.333333333333333,ctx-lh-medialorbitofrontal
1015,4.811851766609226,3067761.2738263104,0.9822689930086309,0.06596686833438824,3.362599206349206,ctx-lh-middletemporal
1017,6.779451826801416,1280139896504.7148,0.9560685065586286,0.06438528167025295,3.7083333333333335,ctx-lh-paracentral
1018,5.003444302225174,3535019886.8142433,0.9753582070487031,0.05823083118770389,4.314351851851852,ctx-lh-parsopercularis
1019,2.2164348874141218,1563.0068227696304,0.9601152964741512,0.066504090899064,4.166666666666667,ctx-lh-parsorbitalis
1020,4.394040035950106,3480566769.8498945,0.9618298967372906,0.06339166229911118,4.303030303030304,ctx-lh-parstriangularis
1021,4.857257876385463,11209.189254644676,0.9865356416048754,0.05991023693320058,3.611111111111111,ctx-lh-pericalcarine
1022,5.4282692697321115,9173576.932769869,0.9810359572997712,0.05218309883298395,4.5134920634920634,ctx-lh-postcentral
1023,3.8393626471693083,7457.999528588286,0.9513716853610426,0.0738517811248577,4.666666666666667,ctx-lh-posteriorcingulate
1024,6.69553819372016,10469487209.129725,0.9624573618886593,0.0680953527025003,3.9017006802721093,ctx-lh-precentral
1025,4.268673256971675,829183.4854611637,0.9800637440495004,0.049171698320916675,4.35,ctx-lh-precuneus
1026,4.027264744739708,189408.51218913554,0.9833660008063885,0.06613839432731601,3.5,ctx-lh-rostralanteriorcingulate
