deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts
0.15703816934044235,0.14370050459957176,0.15572659732343017,0.2006168181430503,0.09684129865441614,0.24607661193908925,0.6652124225436706,0.7945798191950048
0.16642382722354007,0.1417832696280103,0.14553659809330305,0.19858768199750568,0.10505209296378384,0.24261653009385706,0.6656280438814799,0.7950249526334737
0.16223104525519333,0.14642201469139796,0.1506964255482917,0.19523628388234127,0.11181830015018296,0.23359593047259278,0.6670445356520883,0.7965417985984137
0.1695076206657193,0.13991934679264068,0.16034599349369877,0.20514912444240774,0.09247633970300874,0.23260157490252473,0.672853618237439,0.8027587919180528
0.17136268010827185,0.15754390711488014,0.1505417168904275,0.15942930891575216,0.13354343247196387,0.22757895449870452,0.66079095404684,0.7898425145088114
0.16828247290370213,0.15812399956105408,0.14592809172533747,0.16222304933313397,0.13893119025769993,0.22651119621907229,0.6607428050391249,0.7897909071005766
0.19015623702355566,0.1546066758738305,0.14825100120498594,0.1553684762351844,0.12454325725086035,0.22707435241158316,0.6618574336029255,0.7909854908700586
0.17183517561335498,0.15209452582956362,0.14164259538305868,0.16117527468550474,0.11384709649426322,0.25940533199425475,0.6603127964236734,0.7893299940093558
0.1725282003480183,0.14169921309285058,0.13140960662340856,0.174824128178956,0.15250311803439132,0.2270357337223752,0.6628511819513389,0.7920503381798599
0.16709797498332132,0.1431327405503736,0.1320569778755627,0.16790440385546715,0.16989801652863284,0.21990988620664248,0.6602009060254741,0.7892100567325027
0.17093125165323333,0.15347473823960817,0.14212202073027153,0.17948121892687935,0.1399229664109137,0.21406780403909376,0.6601594863208969,0.7891656576623401
0.17207762295072954,0.14065031541807962,0.14174868004651797,0.18542903641969435,0.13840521380392742,0.2216891313610512,0.6641658983287726,0.7934588501216441
0.15905448978322084,0.1420746283023117,0.14970411437110853,0.19554607878182187,0.1291272928271301,0.224493395934407,0.6651268215997963,0.7944881362116714
0.14756454318236545,0.1537356348430752,0.1614692172087525,0.20017441286694482,0.10355978907153024,0.23349640282733175,0.6676859481430262,0.7972285380857178
0.18443171424570243,0.22170083071892757,0.15808708214577066,0.12010897083441928,0.06676722327019056,0.24890417878498947,0.6687375586188545,0.7983543083091645
0.1737482666351891,0.24919816295764466,0.14119969973529786,0.10871417651938954,0.054814256975771296,0.2723254371767076,0.6721546574158022,0.8020110588666078
0.1592180043381999,0.24029300888762214,0.16065694132528752,0.11666904085314156,0.04787851643583367,0.27528448815991535,0.6682170334038758,0.7977970995953872
0.1767511987066405,0.212918893768702,0.13667600831467247,0.12898447363265889,0.09300171779590401,0.25166770778142217,0.6638780593576301,0.7931505019097794
0.17500899825386423,0.2081134226687657,0.14033852916405137,0.13444217750639587,0.10024130174124854,0.24185557066567434,0.6631389991693164,0.7923587151042746
0.1773330194237745,0.19679794407264728,0.1446250996272397,0.13924257820807148,0.11076713409279988,0.23123422457546722,0.6641692809779967,0.7934624737064597
0.16903055628015629,0.21676286314474286,0.13144331998677802,0.15353594356017883,0.10030531801843155,0.22892199900971238,0.6722295974577402,0.8020912321098849
0.20631556801044942,0.20804460343857922,0.12976659079887093,0.1257442508793011,0.0711317366046633,0.25899725026813597,0.662716840970166,0.7919063957932797
0.21809263296776144,0.21585846271388254,0.13687065206203414,0.11632998413118735,0.06988407180924246,0.24296419631589222,0.6634482957310545,0.7926900894437104
0.1944800318034363,0.20996169383428537,0.16268975247071407,0.12434869479678952,0.07933068676830535,0.2291891403264695,0.6665934864806098,0.7960588319722437
0.20031294607798028,0.19617879803544885,0.1579886577983122,0.1307967826383296,0.08488344187005412,0.2298393735798749,0.6675496467656655,0.7970826106314104
0.20343119089813336,0.1953192201274638,0.1494057705442566,0.13669425600671525,0.08245342560717119,0.2326961368162598,0.6671303147503892,0.7966336436409465
0.1901712385964604,0.22106464995591985,0.17033044276770112,0.11996150247433478,0.0585975349640194,0.23987463124156452,0.6714232761784407,0.8012285531712345
0.2060150336479486,0.17011603853011037,0.1315562547910687,0.1510604526666493,0.11802182255452785,0.22323039780969514,0.6648886164171176,0.7942329995342216
0.2104052023738569,0.1686906943130565,0.13239904430477603,0.1411238794238922,0.12404643839082659,0.22333474119359187,0.6671546317430779,0.7966596799977547
0.16821321560997285,0.16660785223440283,0.19123188620953713,0.1511269704115125,0.11070742193086652,0.21211265360370818,0.6653971321907947,0.7947776482883954
0.16708581671519854,0.16732320657333163,0.18375026923280285,0.1560587544324401,0.10449099792730185,0.22129095511892496,0.6601369402081398,0.7891414896544966
0.15930902180362844,0.17164838497401105,0.17879265795865984,0.17271450771568242,0.08961566363935905,0.22791976390865912,0.663303502059946,0.7925349624089717
0.17699243052836938,0.17170622010232375,0.15627234021410844,0.14332308517905765,0.13129767754837735,0.22040824642776347,0.660943515883262,0.7900060316961666
0.17854539207116799,0.20122465851731386,0.15652972666118295,0.15500045527177989,0.09012178517895371,0.21857798229960174,0.664002104217207,0.7932833870588225
0.19932313677002164,0.17805272564440625,0.15513504416453208,0.15290255497718466,0.08092977526177855,0.23365676318207673,0.6624715724407915,0.7916435896099266
0.17944106601208737,0.21392402628989776,0.1620375015743102,0.14823737584083466,0.05576671448529536,0.2405933157975746,0.6652957951532059,0.7946691142843095
0.1900479140485272,0.20411068194450946,0.152478338085517,0.14229988329018292,0.07257037985841336,0.2384928027728501,0.6652578561614544,0.7946284803988223
0.1718252053513217,0.18967968679717928,0.16961877307738585,0.1540950555927476,0.09650092730026297,0.21828035188110265,0.6649076560125078,0.794253392819472
0.17750858471893258,0.1861984581326215,0.1738887954181106,0.16121220734276634,0.07722670423959514,0.2239652501479737,0.6663369655523412,0.7957841430917755
0.18427610110287013,0.18341711279345144,0.16181694682267064,0.14925090615538458,0.09998680896922471,0.22125212415639856,0.6655663337655883,0.7949588625679955
0.213803814635001,0.17380027204443174,0.1401861776662098,0.1348834916278661,0.10317411992044796,0.2341521241060435,0.6600874080831076,0.78908839403018
0.19550191838096323,0.17667138736838492,0.1675413376134642,0.14527461865152172,0.0807309002049085,0.23427983778075745,0.6621332017767622,0.7912810067001392
0.21648178836280194,0.20606351433467152,0.15652834011329742,0.11765205764741975,0.04720805899304405,0.2560662405487652,0.668274526740033,0.7978586470300242
0.18862622825299455,0.17969192008485685,0.14943518847721243,0.150525609018604,0.0834372750317482,0.24828377913458402,0.6598193069111459,0.7888009972407538
0.18470147703637768,0.19540321732337518,0.1553007042807502,0.13811245767833613,0.07618110411766425,0.2503010395634966,0.6612196940934447,0.7903020315673069
0.20343642513473917,0.16716489879964713,0.15192483405253418,0.14238863789071846,0.10549740046788265,0.2295878036544784,0.6623613522652195,0.7915254848061463
0.1962610300316378,0.1752272544289521,0.15457500133078272,0.1382235230914691,0.09975731132441194,0.23595587979274651,0.6599563556205739,0.7889479111333847
0.16460122355229737,0.15479009125103954,0.1578396438393824,0.16606486943014043,0.1348141928062036,0.22188997912093653,0.6641669848687158,0.7934600140526697
0.17618642500517184,0.15919575130100036,0.15136932295593564,0.16570595686417824,0.12782493791152597,0.21971760596218778,0.664748213188384,0.7940826118600463
0.17573387954866354,0.17530371309814355,0.1922889301378496,0.14998947033721627,0.054971054059918534,0.2517129528182084,0.6702867882577653,0.8000124403124652
0.1825686189980729,0.1592967699778904,0.14318070931157378,0.17232860165342723,0.1156270795210177,0.22699822053801805,0.6604978746992312,0.7895283777763179
0.1711775062489121,0.16349478966730996,0.14296691091129193,0.18169386512838123,0.11967594964368769,0.2209909784004171,0.6619625446269324,0.7910981304401721
0.15240720941025362,0.1464407950739495,0.15730246699273692,0.19110379269754968,0.12846559491900536,0.22428014090650497,0.6622898317749742,0.7914488469322852
0.16556620391854351,0.1554452078890319,0.15218637200930665,0.19557223798110335,0.11086388434654892,0.22036609385546566,0.6605755165458267,0.7896115995757066
0.2243307701757356,0.1797667936892902,0.12535786481578357,0.12834282962929394,0.06562010128090186,0.27658164040899474,0.6602734333794356,0.7892878003264291
0.19783589930296286,0.17162726536256942,0.14170327035119842,0.14282877421860204,0.07660039642454014,0.26940439434012703,0.659072289676506,0.7880001487196256
0.17496654950052776,0.17883884063868064,0.14716753811217415,0.15046606921657504,0.09477085209232568,0.25379015043971676,0.6629278440470732,0.7921324779212794
0.1987906829743059,0.17284012169500354,0.15775496233641273,0.1448942961586222,0.10032598777798565,0.22539394905767007,0.6630141562878002,0.7922249560883444
0.1876479373545342,0.1675874377911172,0.16248109161223687,0.15725821477077392,0.09992739931279329,0.2250979191585444,0.6619182789635032,0.7910506944996528
0.1826928700093806,0.17126941952420016,0.16230991503777725,0.16237160041605606,0.08707874711707006,0.23427744789551586,0.6631666021316666,0.7923882890676403
0.1801083496747966,0.16899884290258108,0.16236947215536976,0.16983991802972637,0.08754619069911587,0.23113722653841026,0.6639925870097343,0.7932731916855185
0.19056865610108667,0.15511496270915917,0.15659521205153337,0.16442301365015505,0.10195220865353201,0.23134594683453372,0.6661226941753983,0.7955546872529159
0.17047559716262053,0.16219318267296995,0.14872755275720925,0.1614616386669866,0.13730319795070153,0.21983883078951205,0.6597532893158436,0.7887302263069095
0.1723969256557314,0.16482341152995514,0.15561152962226377,0.15930362792073371,0.12128755199191796,0.22657695327939795,0.6624447247744388,0.7916148215864827
0.16822227806965767,0.1894159996977117,0.13865358264334157,0.15572083849098062,0.1312797487035657,0.2167075523947427,0.6639903840148494,0.7932708317099796
0.15877485475680225,0.17145865612924663,0.13785686135430916,0.1676502334482512,0.1482737471445593,0.21598564716683147,0.6607811027820637,0.7898319556903228
0.16644863198288465,0.172302682152863,0.14620753017437726,0.16418829934979687,0.13625077244588146,0.2146020838941967,0.663614770848498,0.792868440685183
0.16319209696278725,0.18707606222183157,0.14661054867630044,0.17869847711939846,0.10903625147998554,0.21538656353969665,0.6648906006708858,0.7942351248687557
0.17535237680796478,0.1821026698937527,0.15533451454841243,0.16003225826537928,0.10937753222838473,0.2178006482561062,0.6665357327565498,0.7959969888750409
0.1592403553126587,0.191222600302812,0.15551044026867694,0.1700027026064568,0.10620950290614513,0.2178143986032505,0.666458066275742,0.7959138221385417
0.15839527223789343,0.19092813008798717,0.15633933938527733,0.16104661196262776,0.11469137339072512,0.2185992729354893,0.6682513691183307,0.797833856535501
0.1571309503976307,0.18682693432574018,0.15741499270676684,0.16594816677315255,0.11059970683507682,0.22207924896163292,0.6645544956021753,0.7938751128259512
0.15812736351516607,0.17012665033433982,0.1439564859051868,0.20059903242674765,0.10671025677415658,0.2204802110444031,0.6648420937139321,0.7941831688614015
0.13936328556352637,0.1746525830228755,0.15691576816227162,0.20862282867573612,0.09835730206243144,0.2220882325131588,0.6670694162680818,0.7965684388010913
0.16697260691382448,0.1848918956645786,0.14780181368411105,0.16942983983925056,0.12008773384892907,0.2108161100493064,0.6670195663297033,0.796515063307406
0.1647671218761492,0.17984922650774238,0.14501433780827733,0.17070306091307394,0.12135492104104342,0.21831133185371365,0.6650959278786119,0.7944550471429167
0.18261655458180695,0.1947764250921001,0.15304048970441095,0.14478627917872236,0.09698051500690846,0.22779973643605103,0.6735449882310336,0.8034983219331716
0.18933782019055193,0.19486448688224428,0.1578587153264143,0.13839761996693925,0.08863801714825677,0.23090334048559338,0.6704221177544964,0.8001572630013991
0.15476081003804104,0.15846811082795267,0.1797703989001165,0.17654495165616774,0.09521259033301654,0.2352431382447055,0.6631108393506624,0.7923285443837366
0.16221745313541663,0.1718489253108887,0.19024688570311177,0.1749681839131553,0.06291278393894557,0.23780576799848183,0.6650214649709193,0.7943752921177162
0.18038853726893114,0.17209776243655828,0.17199393588122233,0.16777194050377015,0.039706040695235624,0.2680417832142824,0.6616193240453753,0.7907303195620713
0.15059871223886828,0.15456122414938514,0.15700747625392644,0.19184249086866514,0.10593096543681639,0.2400591310523387,0.6638029451649351,0.7930700332482647
0.17138275374178202,0.1642113353987437,0.1566231895585521,0.17742711959692442,0.10011128384588747,0.23024431785811034,0.6642485357212254,0.7935473729434521
0.16016895377383517,0.16247272234805787,0.16842976573105664,0.17806753141692738,0.1104030037859653,0.22045802294415767,0.6655935406293553,0.7949880005537446
0.18917429911492747,0.1522201259831944,0.14454362014657762,0.1817320971318084,0.10591086570144652,0.22641899192204562,0.6613014900837253,0.7903896955670936
0.17489572301199718,0.13852794634505491,0.15232304328902505,0.19598541551628557,0.11236382894899004,0.2259040428886473,0.6614902215139339,0.7905919619911475
0.18172289899651406,0.1477357646003732,0.1357844728972713,0.19189683568626148,0.12060511361523282,0.2222549142043472,0.6622696341097505,0.7914272039344525
0.15967099804175858,0.14009169132099497,0.14428803019375633,0.21258511275334688,0.11295023839230392,0.23041392929783944,0.6633905012962003,0.7926281708864352
0.16102205614807868,0.14444479325307674,0.13861153614773342,0.21519350882933352,0.11594291245548417,0.22478519316629345,0.6625771104834647,0.7917566753340244
0.1849871662052316,0.14893107905524422,0.1853976663871072,0.17000036483084652,0.09253664195215938,0.21814708156941107,0.6626997008132283,0.7918880303933193
0.17267908955148611,0.15054002218579066,0.1725166654341184,0.17677460398357903,0.10753580525822104,0.21995381358680474,0.6652034995333769,0.7945702622551408
0.17321104889230152,0.15265364694670616,0.18510636231577363,0.18217258572500197,0.09129105441839648,0.21556530170182017,0.6625253248707709,0.7917011864558646
0.16642377126093746,0.1449325855306918,0.15608802514101694,0.19633454275419024,0.11120043134931425,0.22502064396384933,0.6620765334375855,0.7912202814591401
0.1770919227386256,0.15564070849591574,0.1487170124411877,0.18484076334577462,0.11605574220404732,0.21765385077444885,0.6604394263937081,0.7894657282110835
0.16880612083653213,0.13604674806558045,0.13322656099381483,0.20447559706730775,0.12382892698971423,0.23361604604705064,0.6624768449059638,0.7916492391884972
0.1599642065807966,0.14251916398176145,0.14634671765285434,0.19883326763036238,0.1183035563199781,0.2340330878342471,0.660951723456722,0.7900148285323997
0.1451468602614294,0.17177367224178602,0.1594229939246284,0.18704012358634292,0.030627230996177437,0.3059891189896359,0.6631388942431559,0.7923586026855618
0.15508763862441022,0.17617119860190725,0.16992254931738127,0.1831514751228111,0.03231182634619954,0.2833553119872906,0.6638081937520065,0.7930756560098634
0.1597875487810721,0.17324126169356924,0.17856143654529966,0.18539961706948238,0.03950280206369625,0.2635073338468805,0.6649237000966635,0.7942705775672807
0.18855109303221537,0.1588997570470164,0.17742144159951778,0.1791383859011899,0.042400183843013126,0.25358913857704746,0.6632489061222897,0.7924764692122974
0.1593257920715163,0.15816116966921265,0.17653425777914353,0.18550218702110902,0.10289333306642102,0.21758326039259768,0.6620204286952416,0.791160159604161
0.16030721808818535,0.1436688176934756,0.17584586004972402,0.18444671412692684,0.10134797268569452,0.2343834173559936,0.6590051615308846,0.7879281783470141
0.14865587848416295,0.17365581574091354,0.18327903324285083,0.1806974539561705,0.10107474335079174,0.21263707522511047,0.6613957636973907,0.7904907308605343
0.16282288711120027,0.17431165856655614,0.17422319730068273,0.1734720979648721,0.10860130686861506,0.20656885218807375,0.6616531522110168,0.7907665722973359
0.1992852019051938,0.15331253722920996,0.1658825945304492,0.17296743815033538,0.08852456950016076,0.22002765868465093,0.6591698411671366,0.7881047355670248
0.1691262015810621,0.1502000432809864,0.16099366894577535,0.19634500737539873,0.10335881789199636,0.21997626092478118,0.6602087493519866,0.7892184642039477
0.17916464149393477,0.13546532245529724,0.14187929824565235,0.1995665075397888,0.10396728558519723,0.2399569446801295,0.6602495913506498,0.7892622436580693
0.15592630242900796,0.13156871583795338,0.13702243473144596,0.2228502016574742,0.09796899187053233,0.2546633534735862,0.6636364541266584,0.792891670461984
0.1519809534812876,0.1322873760217466,0.15645357071050114,0.21515431600342155,0.11443815811020364,0.22968562567283943,0.6679256738328981,0.7974851861919963
0.1663794081332241,0.1492402728128104,0.13368235403924678,0.2019449133528086,0.13160811330495234,0.2171449383569578,0.6660294383256106,0.7954548202687005
0.15103422400609406,0.1458145715080021,0.13627020344616125,0.2065088442219385,0.1407059867079461,0.219666170109858,0.6670038344844389,0.7964982187631819
0.1878070195652183,0.1370149451905121,0.1267280658143452,0.1960012213413206,0.11712960683990702,0.2353191412486968,0.6616328607373548,0.7907448264950686
