Region,Feature,Cohens_d,CI_lower,CI_upper
ctx-rh-inferiorparietal,deltaRel_mean,0.11211543137772893,-0.621131509140901,1.1385462825750263
ctx-rh-inferiorparietal,thetaRel_mean,0.14460455883488185,-0.6797568919177186,1.0081211476164218
ctx-rh-inferiorparietal,alphaRel_mean,-0.10268174211358068,-0.9572865803784547,0.5975554180393426
ctx-rh-inferiorparietal,betaRel_mean,-0.14624976374325313,-1.1245132072262944,0.6252624239430533
ctx-rh-inferiorparietal,gammaRel_mean,-0.09522800798788862,-0.9994270309835318,0.5727775924339571
ctx-rh-inferiorparietal,entropy_1min_mean,0.8049591229292686,0.10170544940562128,1.5504390456850112
ctx-rh-inferiorparietal,entropy_fullts_mean,0.8050567723221651,0.20179102213118666,1.6008926651025301
ctx-lh-postcentral,deltaRel_mean,0.010398320667476414,-1.4908610375080797,1.009260899340946
ctx-lh-postcentral,thetaRel_mean,0.7560705450008333,-0.20520026851985085,1.8404802380599596
ctx-lh-postcentral,alphaRel_mean,-0.15141488353698196,-1.4342935907995098,1.111116902491326
ctx-lh-postcentral,betaRel_mean,-0.6885975711705082,-1.5226912938794945,0.42263557825963205
ctx-lh-postcentral,gammaRel_mean,1.0064750825371465,0.1500087447610067,2.2309777676238145
ctx-lh-postcentral,entropy_1min_mean,0.5824600201168965,-0.43532579112810127,1.8424146043159486
ctx-lh-postcentral,entropy_fullts_mean,0.5821472986593137,-0.43238101224289494,1.817066351287578
ctx-rh-middletemporal,deltaRel_mean,0.8409803943959034,0.14357729206685935,1.7044278889338942
ctx-rh-middletemporal,thetaRel_mean,0.695260485406096,0.04285995447433383,1.4630536221529475
ctx-rh-middletemporal,alphaRel_mean,-0.2350327528486435,-1.0294144459157688,0.4789639977938516
ctx-rh-middletemporal,betaRel_mean,-0.9409416044212711,-1.7268185045229472,-0.27154970450549903
ctx-rh-middletemporal,gammaRel_mean,-1.0253177344851991,-2.0518827096713634,-0.39316246295248247
ctx-rh-middletemporal,entropy_1min_mean,0.5723218473893849,-0.049173579534244755,1.3121884904783219
ctx-rh-middletemporal,entropy_fullts_mean,0.5724961923017915,-0.039790467655403464,1.3305394327643045
ctx-lh-rostralmiddlefrontal,deltaRel_mean,0.5212515014806653,-0.2454781748911778,1.3706126082916132
ctx-lh-rostralmiddlefrontal,thetaRel_mean,0.4504490056708828,-0.3090104147400974,1.3343151415967478
ctx-lh-rostralmiddlefrontal,alphaRel_mean,-0.18546057316162223,-0.8968980024565163,0.6416329242876306
ctx-lh-rostralmiddlefrontal,betaRel_mean,-0.6883843339312744,-1.601093929175841,-0.0027216992555815487
ctx-lh-rostralmiddlefrontal,gammaRel_mean,0.06674954386740413,-0.6635893976519861,0.8804240956115063
ctx-lh-rostralmiddlefrontal,entropy_1min_mean,0.33760296593564243,-0.5539120501421718,0.869186643683412
ctx-lh-rostralmiddlefrontal,entropy_fullts_mean,0.33745291854916437,-0.5984463116150177,0.8167986755202237
ctx-lh-inferiorparietal,deltaRel_mean,0.9664092150080722,0.15130018047573088,2.204975686289755
ctx-lh-inferiorparietal,thetaRel_mean,1.0170790880578258,0.09193459964347654,2.333091003616551
ctx-lh-inferiorparietal,alphaRel_mean,-0.3717911368020357,-1.980440336939439,0.9337812795888848
ctx-lh-inferiorparietal,betaRel_mean,-1.1721236299754447,-2.372805531962208,-0.4206078823974237
ctx-lh-inferiorparietal,gammaRel_mean,-0.08107796603502306,-1.2081712534075126,1.141697894791627
ctx-lh-inferiorparietal,entropy_1min_mean,0.1047661011041458,-1.167345253032374,1.682372079300261
ctx-lh-inferiorparietal,entropy_fullts_mean,0.10486019409269437,-1.1438954460245208,1.6429762103707977
ctx-rh-inferiortemporal,deltaRel_mean,1.1638397245258936,0.6209480256830188,2.088688809451486
ctx-rh-inferiortemporal,thetaRel_mean,-0.08860245246943232,-0.9143854968154065,0.826769217486357
ctx-rh-inferiortemporal,alphaRel_mean,-1.0959287421436392,-2.1241749958715546,-0.3280883334442419
ctx-rh-inferiortemporal,betaRel_mean,-0.6968352611414533,-1.5988625966333587,0.1192449943083065
ctx-rh-inferiortemporal,gammaRel_mean,-0.07653121301126599,-0.9170529460401453,0.7915373411332068
ctx-rh-inferiortemporal,entropy_1min_mean,0.47556237030194354,-0.3675919994896378,1.5034252618709047
ctx-rh-inferiortemporal,entropy_fullts_mean,0.4756587021866601,-0.2487894705051608,1.5228100477743782
ctx-rh-superiorfrontal,deltaRel_mean,0.381525565768168,-0.809723887284426,1.2481793981290306
ctx-rh-superiorfrontal,thetaRel_mean,-0.031062065145322806,-0.923036789469351,0.7539086555998407
ctx-rh-superiorfrontal,alphaRel_mean,0.6747965699694589,-0.1554451433002435,1.8304627308625256
ctx-rh-superiorfrontal,betaRel_mean,-0.29016919165478766,-1.4130320966477694,0.8432928414444478
ctx-rh-superiorfrontal,gammaRel_mean,-0.1401924320536511,-1.1963637626599737,0.9016866097754678
ctx-rh-superiorfrontal,entropy_1min_mean,0.7889153229748793,-0.17417924007643035,2.050332849637191
ctx-rh-superiorfrontal,entropy_fullts_mean,0.7889797024401598,-0.16009771765613723,1.9788906700098203
ctx-rh-medialorbitofrontal,deltaRel_mean,0.7090393235805623,-0.4850379528917818,2.1445413654973478
ctx-rh-medialorbitofrontal,thetaRel_mean,0.317095138062429,-0.5545913332433255,2.3776511144596912
ctx-rh-medialorbitofrontal,alphaRel_mean,-0.9206257589401456,-2.390973090606828,0.20832163120202504
ctx-rh-medialorbitofrontal,betaRel_mean,-0.8680559396344376,-2.3559301524014375,0.10314028593593333
