roiNum,aperiodic_offset,aperiodic_exponent,r_squared,error,num_peaks,roi
12,2.7209019682686275,184.16228761675737,0.9729490615034082,0.06071194769844373,3.333333333333333,Left-Putamen
13,2.9164620359129554,43.78151209968789,0.9944505700749856,0.041379065490997825,5.0,Left-Pallidum
17,3.3269806200999867,2265.176763656441,0.9854560043597743,0.05372716703358273,4.004166666666666,Left-Hippocampus
18,2.853223359373752,234.33208035973965,0.9636356378780839,0.06766701743420894,2.875,Left-Amygdala
50,5.04935578073087,53456425.569657594,0.9874216957703928,0.05239009740254644,4.5,Right-Caudate
51,5.734976199358295,614081.6410755987,0.988568627931756,0.0591717110536567,4.25,Right-Putamen
52,5.005116123724983,50996.599607665295,0.9920330586651549,0.04182146803867426,6.0,Right-Pallidum
53,3.846217706969788,815.744105528102,0.9899568277040678,0.05005139376650357,4.203703703703704,Right-Hippocampus
54,3.1547802527530164,162.24574079376197,0.9855899505073662,0.0654348590873723,2.5,Right-Amygdala
58,3.2584099887587517,397222.81384001113,0.9857559518504715,0.059456078485435444,4.666666666666667,Right-Accumbens-area
1001,4.691718676379259,10215.059605403683,0.9906115402238721,0.048238635021041386,4.277777777777778,ctx-lh-bankssts
1003,4.84119108928886,45122552.884101786,0.9767995515873673,0.05442133636129328,4.373333333333333,ctx-lh-caudalmiddlefrontal
1005,4.760124272176309,1255.2520990844444,0.9902658496368979,0.045115084369532196,4.0,ctx-lh-cuneus
1006,3.3909405910536536,141.3740745070088,0.9903997871899496,0.04803604493428647,4.0,ctx-lh-entorhinal
1007,4.503584758702166,11501.15314713718,0.9883987662196135,0.05142787276075018,4.365384615384615,ctx-lh-fusiform
1008,4.809655225180631,207330.808565081,0.9884218658539974,0.04963542950783883,4.199999999999999,ctx-lh-inferiorparietal
1009,4.838451245181475,90733.94480233816,0.9893713923175952,0.05295884542447535,4.256025641025641,ctx-lh-inferiortemporal
1011,4.733502311548443,2172.18186892525,0.9816222467928383,0.04624418079420726,4.611111111111112,ctx-lh-lateraloccipital
1012,3.3342585460908296,36.12270045850876,0.9831379010751351,0.04584322899004086,2.8333333333333335,ctx-lh-lateralorbitofrontal
1013,5.956116106246782,75952.35082011377,0.9812443776057252,0.05280038415714341,3.8333333333333335,ctx-lh-lingual
1014,3.8613951958588975,1825.7675891648375,0.9837045474879079,0.05633869780602438,4.0,ctx-lh-medialorbitofrontal
1015,4.394291836419577,8992.182337555021,0.9898594439945917,0.05231214596208398,3.8227272727272728,ctx-lh-middletemporal
1016,4.975605280232045,403.01460921573744,0.9926442866810078,0.05017559331920913,4.5,ctx-lh-parahippocampal
1017,4.968672279069172,2012.6993995602697,0.9939576560423171,0.058647946072306646,4.0,ctx-lh-paracentral
1018,5.683303174781773,5381440000.642497,0.9805818311266118,0.0586154083465012,4.011904761904762,ctx-lh-parsopercularis
1019,2.2908741961128443,4.117962896166848,0.9740053438248168,0.03965121153310347,5.0,ctx-lh-parsorbitalis
1020,4.820041158016403,22172566498.17602,0.9801266880030547,0.04806735138951941,4.590909090909091,ctx-lh-parstriangularis
1021,4.838513999541828,405.66255164164994,0.9808269873132888,0.05693802573388804,3.0,ctx-lh-pericalcarine
1022,5.984934958887524,74069515426.08212,0.9761779117219233,0.05042305786351838,4.488095238095238,ctx-lh-postcentral
1023,4.368847677512849,870.3333844930497,0.9841580063192016,0.037357909591725885,6.0,ctx-lh-posteriorcingulate
1024,6.474370120717301,65612726921.66429,0.96840880552749,0.05625312657576842,4.019274376417234,ctx-lh-precentral
1025,5.143477810709194,105208.61123899493,0.9870558953306395,0.051010492405722106,4.222222222222222,ctx-lh-precuneus
1026,3.8820560089823393,53369.332878347625,0.9912238674221344,0.04810755049322343,4.5,ctx-lh-rostralanteriorcingulate
1027,4.651539497722708,290050816.57345706,0.9812246512768422,0.05173502228053133,4.412637362637363,ctx-lh-rostralmiddlefrontal
1028,3.8685816146465806,3270.233611186388,0.9661823188773395,0.0616212288231711,3.708333333333333,ctx-lh-superiorfrontal
1029,5.053381751567226,4928.722936274613,0.9802285589733137,0.04813616328020586,3.75,ctx-lh-superiorparietal
1030,4.313975659709508,2415.204069958662,0.987325086506635,0.05236507133239405,4.296485260770975,ctx-lh-superiortemporal
1031,4.996351596514235,23344.34966186416,0.9875462344745772,0.055385081477019954,4.307407407407407,ctx-lh-supramarginal
1032,3.416630747965474,20.999631053602165,0.9717255995909687,0.06076902773595178,2.5,ctx-lh-frontalpole
1033,4.321653915031681,72.6644459574147,0.9911626876356864,0.049715393867210085,4.0,ctx-lh-temporalpole
1035,5.093852449178612,943348.3194041275,0.9928375328644296,0.053723595419043806,4.125,ctx-lh-insula
2001,4.842028269121527,45549090.572547026,0.990602914610804,0.05594887934309741,4.666666666666667,ctx-rh-bankssts
2003,4.468852195049469,13761280.994409429,0.9827917949861386,0.05336233879750812,4.147619047619047,ctx-rh-caudalmiddlefrontal
2006,2.6830168600225113,9.584390179003663,0.9942409222800714,0.03755974267593372,5.0,ctx-rh-entorhinal
2007,5.090017831368615,11034.82265601224,0.9902407763336115,0.05131139887988239,4.282936507936507,ctx-rh-fusiform
2008,5.137099300145018,2803544.9756910233,0.9866151779731395,0.055037110577152326,4.010227272727272,ctx-rh-inferiorparietal
2009,4.650350208520839,39690.32854464972,0.9934519305517436,0.04789890344517918,4.67948717948718,ctx-rh-inferiortemporal
2011,4.972753274695088,7190.064625710655,0.9888962678377544,0.050668263959541764,4.314814814814815,ctx-rh-lateraloccipital
