,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts
0,0.17792371346278002,0.14731084257328236,0.13558825209659628,0.1732112799059262,0.13911362063778512,0.2268522913236301,0.6604966980654687,0.7895271165721887
1,0.2106905069847154,0.2310011747005734,0.09800521533026874,0.12933103155453443,0.048089880211882687,0.28288219121802527,0.6640820096082587,0.793368985625122
2,0.24812223737304492,0.18420621380230956,0.11625136360840203,0.12645305292084463,0.05934552229155887,0.26562161000384,0.6622708541426778,0.7914285112742362
3,0.21490669985787425,0.16227875273940437,0.11428712750245808,0.13557793829649598,0.07329871750123532,0.299650764102532,0.6594877273514459,0.7884455357658762
4,0.18779385960328263,0.1822332374231366,0.13668597716212777,0.15229524610393308,0.0692302414739469,0.2717614382335732,0.6579759028067476,0.7868245744221181
5,0.19044448073361203,0.17669681824034641,0.1535907398165163,0.1630531884206991,0.07940348164335895,0.23681129114546726,0.6597127930167836,0.7886868138470201
6,0.19500390351484156,0.17438735294331073,0.14328818355566272,0.1604747471650423,0.08896789380880782,0.23787791901233482,0.6618711193124713,0.7910001569250865
7,0.1856132753542775,0.18414488209251584,0.1528374078841192,0.1651409909293064,0.09698221579517244,0.21528122794460863,0.660840053712592,0.7898951404348444
8,0.18792595590187874,0.1784493810924148,0.1393242727775255,0.16408215713701513,0.10468022459482587,0.22553800849633998,0.6596056763203759,0.7885719822127916
9,0.2106905069847154,0.2310011747005734,0.09800521533026874,0.12933103155453443,0.048089880211882687,0.28288219121802527,0.6640820096082587,0.793368985625122
10,0.24812223737304492,0.18420621380230956,0.11625136360840203,0.12645305292084463,0.05934552229155887,0.26562161000384,0.6622708541426778,0.7914285112742362
11,0.21490669985787425,0.16227875273940437,0.11428712750245808,0.13557793829649598,0.07329871750123532,0.299650764102532,0.6594877273514459,0.7884455357658762
12,0.18779385960328263,0.1822332374231366,0.13668597716212777,0.15229524610393308,0.0692302414739469,0.2717614382335732,0.6579759028067476,0.7868245744221181
13,0.19500390351484156,0.17438735294331073,0.14328818355566272,0.1604747471650423,0.08896789380880782,0.23787791901233482,0.6618711193124713,0.7910001569250865
14,0.1856132753542775,0.18414488209251584,0.1528374078841192,0.1651409909293064,0.09698221579517244,0.21528122794460863,0.660840053712592,0.7898951404348444
15,0.18792595590187874,0.1784493810924148,0.1393242727775255,0.16408215713701513,0.10468022459482587,0.22553800849633998,0.6596056763203759,0.7885719822127916
