roiNum,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts,roi
10,0.2329280545792723,0.1909450998251031,0.1267534328317746,0.10694970676146738,0.062186049967388614,0.28023765603499395,0.6629261585240207,0.7921306598453794,Left-Thalamus-Proper
11,0.1923994754604765,0.19147666112220288,0.13678529463520897,0.1423623992485404,0.0670801191806228,0.26989605035294834,0.6626500803134522,0.7918344003137995,Left-Caudate
12,0.20644053649624405,0.17124635740869734,0.1415395602813092,0.13810186099346639,0.09467100725401473,0.2480006775662683,0.6626577282120323,0.7918427916772768,Left-Putamen
13,0.2240622825217558,0.18620697207470066,0.14260382990886106,0.11883194063726936,0.07081947388747056,0.25747550096994254,0.6627650338170809,0.7919580236269531,Left-Pallidum
17,0.20792514130698836,0.1705556664677673,0.1423756816649724,0.141845003448022,0.10827380434065796,0.22902470277159195,0.6672356541426163,0.7967401701925971,Left-Hippocampus
18,0.20652556815434805,0.1686712428569834,0.1418294582718372,0.13977065855885015,0.11533849949566319,0.227864572662318,0.6641969919865963,0.7934910127254755,Left-Amygdala
50,0.20477082611530917,0.16191880394841368,0.1431505401414279,0.1420199069308361,0.06289821842052797,0.2852417044434851,0.6652842163663089,0.7946548479007903,Right-Caudate
51,0.19907813256433457,0.1637777535416603,0.13368499862078206,0.15673494180876055,0.07765638225512854,0.269067791209334,0.6631850840994181,0.7924072421707582,Right-Putamen
52,0.19096746993570723,0.1504436514069764,0.1442109335510126,0.1708836752698655,0.10539752402785901,0.2380967458085792,0.661333993014005,0.7904244350676887,Right-Pallidum
53,0.20412693171504892,0.16925091195856573,0.14585440491444726,0.1456441197059311,0.11048639316992379,0.22463723853608317,0.6654320755697567,0.7948130394848626,Right-Hippocampus
54,0.2159597112979017,0.17299660544546497,0.14055935215584428,0.13276918478517935,0.102475695930001,0.2352394503856087,0.6649651168611231,0.7943142430858585,Right-Amygdala
58,0.22900355258619867,0.1519664833478319,0.13440323486744638,0.12167084549443503,0.0548674551928938,0.3080884285111942,0.6632146628966819,0.7924397462804237,Right-Accumbens-area
1001,0.1912262840119452,0.17158496822071329,0.16156528774928552,0.15015039151549575,0.09789593289102771,0.2275771356115325,0.6659372678488241,0.79535512990933,ctx-lh-bankssts
1003,0.18402671647339072,0.17499809073362366,0.14899860301399034,0.1589437956705205,0.10850788004172358,0.22452491406675118,0.6670086395322542,0.7964996569314279,ctx-lh-caudalmiddlefrontal
1005,0.19907381120039597,0.1723576697344314,0.15269230605297923,0.142516264495236,0.11235841278567962,0.2210015357312779,0.6648070186226276,0.7941451542805394,ctx-lh-cuneus
1006,0.2061709967617122,0.1826797910468592,0.1415935197708756,0.13833528111531315,0.10043436050972732,0.23078605079551248,0.6661533530637554,0.7955830168429074,ctx-lh-entorhinal
1007,0.19526813287456382,0.17469301081222968,0.15896469972791755,0.1447910613329016,0.09873678348423831,0.22754631176814907,0.6668677774876423,0.7963509009596579,ctx-lh-fusiform
1008,0.20317023095173348,0.17558274318560416,0.15865372942072428,0.14241657833701188,0.0838943966001748,0.23628232150475142,0.6678066478794028,0.7973548978931091,ctx-lh-inferiorparietal
1009,0.1999962238465545,0.1754222755825614,0.1622008051598084,0.1448574944704273,0.08807020711527212,0.22945299382537626,0.6684078042782948,0.7979993089047089,ctx-lh-inferiortemporal
1010,0.1912246239019272,0.16447378221180015,0.15180044432005865,0.1567807430598647,0.11148715727804283,0.22423324922830648,0.6651520634266602,0.7945143458937304,ctx-lh-isthmuscingulate
1011,0.17069232240227272,0.16782250186069272,0.17113496346847826,0.15836571073596412,0.12379986655290538,0.2081846349796868,0.6687999915323405,0.7984199300390944,ctx-lh-lateraloccipital
1012,0.1909542897841828,0.17210015784912394,0.15204990178044245,0.1520615428720121,0.10619333217808348,0.22664077553615525,0.6648482407935515,0.7941862694989709,ctx-lh-lateralorbitofrontal
1013,0.16465460159094378,0.15817562004260446,0.16992996504236524,0.17035312721202844,0.1308508489114814,0.2060358372005767,0.6664856378824585,0.7959429861211677,ctx-lh-lingual
1014,0.20715766486745193,0.1779719043632195,0.14755187714702586,0.13735159864976634,0.09751640558170908,0.2324505493908273,0.6678193874311155,0.7973672109519753,ctx-lh-medialorbitofrontal
1015,0.21003979895245117,0.17706262042399504,0.15482438240925503,0.13784269976462538,0.08462547546124508,0.2356050229884283,0.6679125906745392,0.7974686994563397,ctx-lh-middletemporal
1016,0.20787492858370538,0.1759784687451259,0.15819428005375594,0.1386573554534762,0.09087100003264645,0.2284239671312901,0.666301296920372,0.7957452574190804,ctx-lh-parahippocampal
1017,0.1962687397608887,0.18804722511524263,0.17179712294098876,0.139508188999811,0.07700840172534744,0.22737032145772157,0.665571709824238,0.7949640301942745,ctx-lh-paracentral
1018,0.18674072462806213,0.16782621653528249,0.15126749398682401,0.16298758891817128,0.1044600524720293,0.2267179234596308,0.663145467282964,0.7923645875422319,ctx-lh-parsopercularis
1019,0.19020297048934465,0.17005513577198417,0.15012576112618758,0.15262342561517214,0.1225281635313879,0.21446454346592356,0.6683162375403839,0.7978984512091545,ctx-lh-parsorbitalis
1020,0.19083250392537535,0.17231733789429118,0.15010373795961815,0.15572158965895225,0.10747743339043989,0.22354739717132316,0.6658898982445497,0.7953017370356367,ctx-lh-parstriangularis
1021,0.17507282448413003,0.16317698940228978,0.16798388271247597,0.15971368875372713,0.129353739042449,0.20469887560492805,0.6662894649916894,0.7957332472020255,ctx-lh-pericalcarine
