roiNum,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts,roi
10,0.2329280545792723,0.1909450998251031,0.1267534328317746,0.10694970676146738,0.062186049967388614,0.28023765603499395,0.6629261585240207,0.7921306598453794,Left-Thalamus-Proper
11,0.20920733909353073,0.17124537277623572,0.13785328328903548,0.13562258162521418,0.07372535930618793,0.272346063909796,0.6625221088513993,0.7916974328428944,Left-Caudate
12,0.20644053649624405,0.17124635740869734,0.1415395602813092,0.13810186099346639,0.09467100725401473,0.2480006775662683,0.6626577282120323,0.7918427916772768,Left-Putamen
13,0.2240622825217558,0.18620697207470066,0.14260382990886106,0.11883194063726936,0.07081947388747056,0.25747550096994254,0.6627650338170809,0.7919580236269531,Left-Pallidum
17,0.20791156989243006,0.17146425253707534,0.14539634358066192,0.14081708555708763,0.10461199432974042,0.2297987541030046,0.6672864022425661,0.7967956112575824,Left-Hippocampus
18,0.21125798950572633,0.17182678779699423,0.14186361533116526,0.1364009232364719,0.10457574978004364,0.2340749343495987,0.6667261965752972,0.7961979389953383,Left-Amygdala
50,0.19609740546414284,0.16864694272722877,0.14787340846764382,0.14567887202737848,0.06417311999882531,0.2775302513147807,0.6647219805300099,0.7940528213466964,Right-Caudate
51,0.20266772643655184,0.1622744246175834,0.13126877110983826,0.15472015362586103,0.08038197362328833,0.2686869505868772,0.6628517967887573,0.7920501423101399,Right-Putamen
52,0.19096746993570723,0.1504436514069764,0.1442109335510126,0.1708836752698655,0.10539752402785901,0.2380967458085792,0.661333993014005,0.7904244350676887,Right-Pallidum
53,0.2046295756080739,0.16975868607724706,0.14502051092673524,0.14463745335178038,0.11140028538201378,0.22455348865414965,0.6664209257511179,0.7958706701931048,Right-Hippocampus
54,0.2113745777024323,0.17422386694936134,0.14462829730875093,0.1364779771255906,0.1020800742345436,0.23121520667932122,0.6676552068719762,0.7971907428204801,Right-Amygdala
58,0.22900355258619867,0.1519664833478319,0.13440323486744638,0.12167084549443503,0.0548674551928938,0.3080884285111942,0.6632146628966819,0.7924397462804237,Right-Accumbens-area
1001,0.1924934634510217,0.17191336686899755,0.16024891504765584,0.15053123453123152,0.09678211310104755,0.22803090700004586,0.6657473941934786,0.7951514515882749,ctx-lh-bankssts
1002,0.14941720647602458,0.06814900712288378,0.07070207863583386,0.2843513854488322,0.049038047625379666,0.37834227469104587,0.6634390286680188,0.7926801594105104,ctx-lh-caudalanteriorcingulate
1003,0.187415486149148,0.17377144720560486,0.14799949795867182,0.15644601901828867,0.10648470936462232,0.22788284030366437,0.6672915804346113,0.7968020214995235,ctx-lh-caudalmiddlefrontal
1005,0.19907381120039597,0.1723576697344314,0.15269230605297923,0.142516264495236,0.11235841278567962,0.2210015357312779,0.6648070186226276,0.7941451542805394,ctx-lh-cuneus
1006,0.21309345653432776,0.1826476656320668,0.141134468585569,0.13266533694396435,0.09516252818244753,0.2352965441216245,0.6656225269355905,0.7950158817517754,ctx-lh-entorhinal
1007,0.1980512762731572,0.17529525132955767,0.15702455800371806,0.14341167642831948,0.09755956957651046,0.22865766838873716,0.6668673681824987,0.7963502809497078,ctx-lh-fusiform
1008,0.20348663420615207,0.1757706763710187,0.15835157973692268,0.14200031134060284,0.0836596033467635,0.23673119499854028,0.6679309759876134,0.7974878881526052,ctx-lh-inferiorparietal
1009,0.2005692499043938,0.1757512737444208,0.16182223052015365,0.1443522683901584,0.0886037050086944,0.22890127243217895,0.668438977826908,0.7980325284299226,ctx-lh-inferiortemporal
1010,0.1912246239019272,0.16447378221180015,0.15180044432005865,0.1567807430598647,0.11148715727804283,0.22423324922830648,0.6651520634266602,0.7945143458937304,ctx-lh-isthmuscingulate
1011,0.17069232240227272,0.16782250186069272,0.17113496346847826,0.15836571073596412,0.12379986655290538,0.2081846349796868,0.6687999915323405,0.7984199300390944,ctx-lh-lateraloccipital
1012,0.19103066585837575,0.17341130140477898,0.15271376019707045,0.15186938610555278,0.1049899465371552,0.22598493989706686,0.6648310965787706,0.7941681738334955,ctx-lh-lateralorbitofrontal
1013,0.16465460159094378,0.15817562004260446,0.16992996504236524,0.17035312721202844,0.1308508489114814,0.2060358372005767,0.6664856378824585,0.7959429861211677,ctx-lh-lingual
1014,0.20800813479575525,0.17763775040044674,0.14745230335128906,0.1367287798941015,0.09734177933999168,0.23283125221841575,0.6674368236395,0.7969577984346002,ctx-lh-medialorbitofrontal
1015,0.21230827893519566,0.17787002469445107,0.1537652934020685,0.13656039290338517,0.08293862222248066,0.23655738784241898,0.6678895487266672,0.7974440810931146,ctx-lh-middletemporal
1016,0.20356875548390088,0.17795020163388026,0.15843558514733386,0.1398801382561962,0.09533593771983322,0.22482938175885556,0.6660898459241761,0.7955190051537363,ctx-lh-parahippocampal
1017,0.19644312685925708,0.1872956574525381,0.16948627419520096,0.1392323738623258,0.08097397571425563,0.2265685919164225,0.6658114599189199,0.7952208745295953,ctx-lh-paracentral
1018,0.18665953664185472,0.16781505686751624,0.15122273792574012,0.1626280914913239,0.10563772941225433,0.22603684766131066,0.6633192027436439,0.7925505792010178,ctx-lh-parsopercularis
1019,0.19020297048934465,0.17005513577198417,0.15012576112618758,0.15262342561517214,0.1225281635313879,0.21446454346592356,0.6683162375403839,0.7978984512091545,ctx-lh-parsorbitalis
1020,0.19189545046258208,0.17414062651133563,0.14958953095293967,0.15407443493708922,0.10598770736888131,0.22431224976717207,0.6660731379706964,0.7954981056837552,ctx-lh-parstriangularis
