feature,test,p_value,effect_size,hup_mean,mni_mean,hup_std,mni_std,p_value_fdr,significant
deltaRel,Mann-Whitney U,1.0224793937703905e-06,0.9302963130069075,0.19592019476487568,0.18077773520742013,0.016029211857298692,0.016539200167645485,3.578677878196367e-06,True
thetaRel,Mann-Whitney U,0.010968937208242656,0.3639218863961497,0.17219676059331798,0.16929686172436334,0.008097845462923582,0.007827045952373528,0.015356512091539718,True
alphaRel,Mann-Whitney U,0.04977190874541862,-0.3327792880392276,0.15242558669760123,0.15719785560145103,0.011255027156486895,0.017044833424495434,0.058067226869655056,False
betaRel,Mann-Whitney U,1.0116461211182642e-07,-0.966046080452983,0.14832671317831184,0.16055653992761357,0.012599912550278902,0.012723578738203902,7.081522847827849e-07,True
gammaRel,Mann-Whitney U,0.8868055767336996,0.006524237547820259,0.09797600925623742,0.09787000537661798,0.01599629827367556,0.016513605079398554,0.8868055767336996,False
entropy_1min,Mann-Whitney U,0.0002892946193434222,0.6221624809638083,0.666143196838553,0.664584344914304,0.0029777595563158015,0.0018695343785150175,0.0005062655838509889,True
entropy_fullts,Mann-Whitney U,0.0002892946193434222,0.6219425001695323,0.7955737595321737,0.7939055394040073,0.003187403157469684,0.0020020946360329813,0.0005062655838509889,True
