deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts
0.17792371346278002,0.14731084257328236,0.13558825209659628,0.1732112799059262,0.13911362063778512,0.2268522913236301,0.6604966980654687,0.7895271165721887
0.2106905069847154,0.2310011747005734,0.09800521533026874,0.12933103155453443,0.048089880211882687,0.28288219121802527,0.6640820096082587,0.793368985625122
0.24812223737304492,0.18420621380230956,0.11625136360840203,0.12645305292084463,0.05934552229155887,0.26562161000384,0.6622708541426778,0.7914285112742362
0.21490669985787425,0.16227875273940437,0.11428712750245808,0.13557793829649598,0.07329871750123532,0.299650764102532,0.6594877273514459,0.7884455357658762
0.18779385960328263,0.1822332374231366,0.13668597716212777,0.15229524610393308,0.0692302414739469,0.2717614382335732,0.6579759028067476,0.7868245744221181
0.19044448073361203,0.17669681824034641,0.1535907398165163,0.1630531884206991,0.07940348164335895,0.23681129114546726,0.6597127930167836,0.7886868138470201
0.19500390351484156,0.17438735294331073,0.14328818355566272,0.1604747471650423,0.08896789380880782,0.23787791901233482,0.6618711193124713,0.7910001569250865
0.1856132753542775,0.18414488209251584,0.1528374078841192,0.1651409909293064,0.09698221579517244,0.21528122794460863,0.660840053712592,0.7898951404348444
0.18792595590187874,0.1784493810924148,0.1393242727775255,0.16408215713701513,0.10468022459482587,0.22553800849633998,0.6596056763203759,0.7885719822127916
0.2106905069847154,0.2310011747005734,0.09800521533026874,0.12933103155453443,0.048089880211882687,0.28288219121802527,0.6640820096082587,0.793368985625122
0.24812223737304492,0.18420621380230956,0.11625136360840203,0.12645305292084463,0.05934552229155887,0.26562161000384,0.6622708541426778,0.7914285112742362
0.21490669985787425,0.16227875273940437,0.11428712750245808,0.13557793829649598,0.07329871750123532,0.299650764102532,0.6594877273514459,0.7884455357658762
0.18779385960328263,0.1822332374231366,0.13668597716212777,0.15229524610393308,0.0692302414739469,0.2717614382335732,0.6579759028067476,0.7868245744221181
0.19500390351484156,0.17438735294331073,0.14328818355566272,0.1604747471650423,0.08896789380880782,0.23787791901233482,0.6618711193124713,0.7910001569250865
0.1856132753542775,0.18414488209251584,0.1528374078841192,0.1651409909293064,0.09698221579517244,0.21528122794460863,0.660840053712592,0.7898951404348444
0.18792595590187874,0.1784493810924148,0.1393242727775255,0.16408215713701513,0.10468022459482587,0.22553800849633998,0.6596056763203759,0.7885719822127916
0.19581594086647505,0.1560029467732593,0.1404219930596821,0.15679639859359207,0.12806224436233735,0.22290047634465418,0.6607580767255423,0.7898072757514697
0.19605403024960275,0.16048651237667405,0.16982866261711838,0.15371565909283874,0.10258643053973017,0.21732870512403585,0.665890858358935,0.795306413221955
0.182530090472953,0.16677786227551825,0.1830506089581734,0.1518561289428534,0.09234065061536183,0.22344465873514008,0.6691657180700474,0.7988126066155679
0.21120256903497941,0.17944719746944232,0.14597734474730137,0.13483714783041076,0.10723098868546826,0.221304752232398,0.6790875178337135,0.8094239888550382
0.22151753896741738,0.17924578660969526,0.14175119336785386,0.1299340746681945,0.09932576538880869,0.2282256409980302,0.6799451248126195,0.8103404139124041
0.22242290692371794,0.18504302402468484,0.13994794624664864,0.12700931279397465,0.09536763348067732,0.23020917653029646,0.6887957371305111,0.8197908446887706
0.22453679830924125,0.18366773933162564,0.13883933156005981,0.1264418647596214,0.09342050016609922,0.2330937658733526,0.684822334422068,0.8155497727564962
0.2301800941918252,0.17349719930365384,0.13108384615157032,0.12666720473000453,0.09937998984834984,0.2391916657745962,0.6590419258448628,0.7879675947203312
0.17683155236992615,0.17426054468628063,0.14903383985373014,0.15875538179098042,0.1254597474857684,0.21565893381331416,0.6655598238496127,0.7949518905640485
0.17801139542378652,0.1706937567202559,0.1486295401245949,0.1609991041836185,0.12558068310698944,0.21608552044075469,0.6612766134836415,0.7903630344556516
0.17537099373415876,0.1588546639389953,0.14130709131058203,0.17381295019636814,0.13383299790742229,0.21682130291247342,0.6682716583542663,0.7978555763958534
0.13671028015768494,0.1470104120753779,0.13760010296837144,0.1972721618647585,0.16584682493327335,0.21556021800053382,0.6908096447003061,0.8219394249203255
0.17508011378980393,0.1550908131482479,0.1460761579663584,0.17457521983141283,0.12831153410585702,0.2208661611583199,0.6767291404598405,0.8069032231264316
0.15371554667853804,0.14205548007418986,0.14026581864336363,0.19979641245826207,0.13527593461204462,0.22889080753360164,0.6751384764871239,0.8052024989069182
0.20583585653986944,0.17483117821821034,0.14891862072393788,0.144723680655628,0.10426362243181023,0.22142704143054412,0.6957287923950659,0.827184735658086
0.1964773007506332,0.17264197193204817,0.13965041526287805,0.15850682111684605,0.09284398731849933,0.23987950361909516,0.6740390115052683,0.8040267080889502
0.17920542159214617,0.1606372082800162,0.12603121273299137,0.17567852896814148,0.114854431351281,0.2435931970754237,0.6722708027668057,0.8021353144500721
0.17989600065795702,0.17257864774698015,0.13565807888673345,0.1614586283751538,0.11506553912482802,0.23534310520834753,0.665189989074428,0.7945557919277086
0.21096644830595232,0.17992431743080983,0.14656844219297152,0.13829557284646618,0.1007378408053657,0.2235073784184344,0.6685013950935056,0.7981015072259982
0.19965530550286736,0.17397055177186674,0.14746966691166016,0.15369987819923747,0.09275764090855743,0.2324469567058109,0.6761378370627099,0.8062710569478924
0.20187471057151532,0.17711807326918708,0.1341016224877701,0.15185688565217392,0.08583652701801976,0.24921218100133377,0.6645969135135098,0.7939205489935193
0.22129620762750946,0.19609775682969038,0.14046278378033053,0.12886735211206268,0.05977617962504358,0.2534997200253635,0.6715215207163543,0.8013336704815232
0.21324571966893685,0.18157379049650024,0.14491933987784147,0.13496144873487284,0.10449606690352568,0.22080363431832278,0.6784567784873972,0.8087499116281518
0.21271159919791402,0.17731949779957645,0.14233440817224505,0.1374110568513803,0.1111096013606256,0.2191138366182586,0.6808370937824734,0.8112934261198033
0.20223504997000202,0.1746096746160664,0.1443362367181447,0.1469903423551335,0.1169593407091801,0.21486935563147316,0.6660750616949497,0.7955036781798049
0.1925457213639772,0.17049172535674262,0.14918871277732895,0.15610856794143976,0.11643687162164171,0.21522840093886983,0.6665455312956526,0.7960074812612029
0.19495176178870932,0.16916126176645702,0.14665441716572253,0.1570665687127747,0.10941237650709898,0.2227536140592375,0.6673976860267176,0.7969199140830368
0.20535922712204815,0.17466764766065915,0.1369747859159652,0.14696326478125646,0.09965580350094136,0.23637927101912967,0.6638955319080379,0.7931692198379251
0.20992317280654355,0.1808025747104628,0.14736275787290545,0.13607358252950408,0.0859711070359132,0.23986680504467087,0.6676583350820304,0.7971989751556414
0.20442181817991534,0.17964156338069232,0.15044085727785708,0.14150296786481337,0.10895594308470019,0.2150368502120218,0.6772842863410161,0.8074966789816171
0.21313579466727495,0.1782510429544887,0.14602398979466336,0.13530669653690305,0.10622686919963695,0.22105560684703313,0.6821944939118872,0.8127434653377628
0.22132134241569124,0.17242634349985758,0.13503506945302926,0.1380294392839087,0.09976109620748783,0.2334267091400255,0.6825057323453838,0.8130759014450061
