roiNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,roi
12,0.1356868285807325,0.10587309381816154,5.77344321397786,10.166666666666666,0.23148937622354854,0.0003668735856710483,0.9122704669833597,47.5,0.0002859636548595702,33.33333333333333,0.3768122212619534,5.666666666666666,0.33333333333333337,-0.16933333333333336,-0.16367361111111112,0.877612127105317,15.5,1.7021401048585076,0.3433333333333334,0.33666666666666667,0.17653562233918418,0.6073570926018956,Left-Putamen
13,0.19922012930142607,-0.23690162291762346,8.163412519994495,39.0,0.3461795195612832,0.0012824715013780702,0.8881573464455371,54.0,0.00023146269392515642,114.0,0.4456128075452453,16.0,0.2222222222222222,-0.08550000000000002,-0.19904166666666667,0.953682459349346,17.0,1.6087836183208792,0.44,0.38,0.110063121530802,0.4587461427829781,Left-Pallidum
17,0.22303597986721554,0.09872498147178499,8.257971530560168,33.15,0.2523105785971948,0.023426121572530333,0.8831103980887296,67.31666666666666,0.0006001013479688124,91.1625,0.3506830412029224,17.6625,0.14245956167222837,-0.023014409722222226,-0.017477951388888902,0.9151053426593043,17.720833333333335,1.6650581145818386,0.438,0.3815,0.12659655821023302,0.524958127522593,Left-Hippocampus
18,0.12888930309356839,0.06596544454791137,7.787885916370555,31.625,0.1249779476372631,-0.007622349610965321,0.8857925660471706,67.375,0.00038446745377696104,88.875,0.2076651534522137,17.0,0.1220065677786266,0.20120833333333335,0.18362500000000004,0.8948236878213005,19.125,1.6676494134478268,0.435,0.375,0.13264140125249527,0.5443488330403498,Left-Amygdala
50,0.12315476870155344,0.11845257905411215,5.168041187926358,17.333333333333336,0.20731686302851338,-0.0026346588488584863,0.918090396421924,46.5,0.00044403065651050285,60.666666666666664,0.37146525607332265,10.333333333333334,0.4546955624355006,-0.07409027777777777,-0.061874999999999986,0.9045280538348293,15.833333333333332,1.735130891369828,0.41000000000000003,0.39666666666666667,0.23872576011471863,0.6620511050688644,Right-Caudate
51,0.03769626415952396,-0.1699315538271849,4.195912525158056,12.5,0.23393059635117694,-0.0027124112925787543,0.9041378448204017,49.5,0.00027724453145391175,20.75,0.4037958673357175,5.5,0.5777777777777777,-0.27913541666666664,-0.2725416666666667,0.9385320431549748,18.75,1.6816926302042337,0.38,0.385,0.29068935930434814,0.6353227178360072,Right-Putamen
52,-0.07754706192281002,0.29786680734943816,3.814159043857236,7.0,0.21496142637465235,0.003735482582237141,0.9241603466955579,50.0,0.0002087366383301069,10.0,0.4210387535215964,6.0,0.09090909090909091,-0.06524999999999997,-0.108375,0.8830778586612068,14.0,1.7574122798604483,0.42,0.38,0.2469709068496045,0.6882825865016994,Right-Pallidum
53,-0.0018758519435416116,0.03321940687155908,8.53786859630212,34.78703703703704,0.2900232191379495,0.01189599214977403,0.8760629743836678,62.56481481481482,0.0004298988875632911,86.22222222222223,0.38460652945997187,16.407407407407405,0.24319984061728128,0.11963040123456789,0.09904205246913582,0.9419385612721977,20.97222222222222,1.6153562662839982,0.4090740740740741,0.3668518518518519,0.12356712369823135,0.47278161098067084,Right-Hippocampus
54,0.4996829691404383,-0.2952523332348305,10.14292087519768,42.83333333333333,0.22619907251420496,0.004208141177522287,0.8701975164597049,70.0,0.0004457990565701611,102.66666666666666,0.2863837737546825,20.166666666666664,0.09923507864684336,0.1293333333333333,0.15319444444444452,0.9580130922771672,20.166666666666664,1.5806056319084134,0.45,0.38333333333333336,0.09632121030599222,0.4221592714890532,Right-Amygdala
58,0.24323952977011631,0.10489128662933657,6.58941056021419,22.0,0.2673808556906258,-0.0031515482034513956,0.9133261105092091,47.333333333333336,0.0003106308636625444,79.66666666666667,0.5308761644780992,13.0,0.2811194653299916,0.023944444444444435,0.02356944444444442,0.9205140933277111,15.0,1.7026422895169844,0.44,0.3866666666666667,0.17717478100080322,0.5731139993652693,Right-Accumbens-area
1001,-0.07483129634992082,0.08202565724075593,7.939120454706405,29.5,0.33248835743455546,0.003310977857044164,0.8700817660730987,66.5,0.0003221505569283268,87.83333333333333,0.46221281894131017,14.611111111111109,0.2823232323232323,0.0463287037037037,0.007356481481481492,0.9411488959433716,21.944444444444443,1.611473015928618,0.4177777777777778,0.3711111111111111,0.15165104511348212,0.4919733296738687,ctx-lh-bankssts
1003,0.5595874732776842,0.08628159974632196,5.607030226927127,15.26666666666667,0.22051535674777237,0.0026032097406597002,0.8661821818484874,55.373333333333335,0.0004501199517652028,60.38666666666667,0.3826561512533518,10.36,0.30773789173789173,0.13602388888888886,0.14086666666666667,0.8502059063620724,20.106666666666666,1.6917376700071771,0.4288,0.3688,0.2416224271691762,0.6220779968423723,ctx-lh-caudalmiddlefrontal
