patient_id,roiNum,deltaRel_mean,thetaRel_mean,alphaRel_mean,betaRel_mean,gammaRel_mean,entropy_1min_mean,entropy_fullts_mean,roi
1,1014,0.17675796184687095,0.15494173375481607,0.1452738961044607,0.15958893341794103,0.12577384800094119,0.6609710116885745,0.7900354639933304,ctx-lh-medialorbitofrontal
1,1015,0.16380016562122376,0.14295628392790516,0.15307640361468092,0.19989747711632624,0.10154700786784791,0.6676846550786695,0.7972263405862362,ctx-lh-middletemporal
1,1030,0.16487568048348147,0.14579454507438314,0.1430851028092703,0.18389321317162724,0.13890273277942092,0.6633650403948841,0.7926002628322893,ctx-lh-superiortemporal
1,2014,0.17136268010827185,0.15754390711488014,0.1505417168904275,0.15942930891575216,0.13354343247196387,0.66079095404684,0.7898425145088114,ctx-rh-medialorbitofrontal
2,53,0.20821011801090275,0.16940336642158343,0.13197764954792235,0.14609216604527075,0.12103413047267722,0.6660216240800978,0.7954463397659881,Right-Hippocampus
2,2023,0.17246599507303048,0.23706400085473145,0.15331457440211868,0.11516406273565012,0.056486665560598504,0.6697030831461775,0.7993874889237199,ctx-rh-posteriorcingulate
2,2024,0.1763644054614264,0.2059434201700383,0.14054654570198785,0.13422307644904208,0.10133671787665081,0.663728779834981,0.7929905635735045,ctx-rh-precentral
2,2028,0.16903055628015629,0.21676286314474286,0.13144331998677802,0.15353594356017883,0.10030531801843155,0.6722295974577402,0.8020912321098849,ctx-rh-superiorfrontal
2,2030,0.1968012147472969,0.2081919350416918,0.15986810665597886,0.12832787924052502,0.0705254802855953,0.669276795464415,0.7989310984060904,ctx-rh-superiortemporal
2,2035,0.20480029471490685,0.20751088950554897,0.14682891328248282,0.1243049281114019,0.0763074842630663,0.665077067486874,0.7944344819601611,ctx-rh-insula
3,1007,0.18278188316200972,0.19553170622098803,0.1616146964968398,0.152291255385916,0.07885271438738319,0.6647119915895847,0.7940436845438548,ctx-lh-fusiform
3,1009,0.18427610110287013,0.18341711279345144,0.16181694682267064,0.14925090615538458,0.09998680896922471,0.6655663337655883,0.7949588625679955,ctx-lh-inferiortemporal
3,1024,0.1648693513762666,0.1685264812605818,0.18459160446699996,0.159966744186545,0.10160469449917581,0.6629458581529603,0.7921513667839545,ctx-lh-precentral
3,1034,0.17699243052836938,0.17170622010232375,0.15627234021410844,0.14332308517905765,0.13129767754837735,0.660943515883262,0.7900060316961666,ctx-lh-transversetemporal
4,1030,0.1962610300316378,0.1752272544289521,0.15457500133078272,0.1382235230914691,0.09975731132441194,0.6599563556205739,0.7889479111333847,ctx-lh-superiortemporal
4,1034,0.20343642513473917,0.16716489879964713,0.15192483405253418,0.14238863789071846,0.10549740046788265,0.6623613522652195,0.7915254848061463,ctx-lh-transversetemporal
4,2030,0.1966031645507247,0.19371955058096782,0.15375474429042002,0.13543004144811996,0.0689421460474855,0.6631045092482079,0.792320558612695,ctx-rh-superiortemporal
4,2035,0.20465286650798212,0.17523582970640833,0.153863757639837,0.1400790551396939,0.09195251006267824,0.6611103049299349,0.7901847003651596,ctx-rh-insula
5,12,0.21108333473934923,0.1756970295259298,0.133530567583491,0.13558580192394798,0.07111024885272099,0.6596728615279708,0.7886439745230274,Left-Putamen
5,1008,0.17573387954866354,0.17530371309814355,0.1922889301378496,0.14998947033721627,0.054971054059918534,0.6702867882577653,0.8000124403124652,ctx-lh-inferiorparietal
5,1010,0.17039382427873462,0.15699292127601994,0.15460448339765903,0.16588541314715932,0.1313195653588648,0.66445759902855,0.7937713129563579,ctx-lh-isthmuscingulate
5,1018,0.16556620391854351,0.1554452078890319,0.15218637200930665,0.19557223798110335,0.11086388434654892,0.6605755165458267,0.7896115995757066,ctx-lh-parsopercularis
5,1030,0.18268294775910587,0.16555881489140253,0.1598734440958362,0.16263927495748903,0.09955841955488583,0.6635289774109483,0.7927763368184421,ctx-lh-superiortemporal
5,1034,0.17047559716262053,0.16219318267296995,0.14872755275720925,0.1614616386669866,0.13730319795070153,0.6597532893158436,0.7887302263069095,ctx-lh-transversetemporal
5,1035,0.17598211342641445,0.1641822634105668,0.14967451753283792,0.1680973249709111,0.11177309279080441,0.6621384502872022,0.7912865578316798,ctx-lh-insula
6,2018,0.1571309503976307,0.18682693432574018,0.15741499270676684,0.16594816677315255,0.11059970683507682,0.6645544956021753,0.7938751128259512,ctx-rh-parsopercularis
6,2020,0.16404502533032603,0.18783236562659586,0.1534487107196668,0.16744501248846555,0.10982866500131012,0.6665339422053771,0.7959949481044598,ctx-rh-parstriangularis
6,2024,0.16448192160311484,0.17772577932660713,0.140905991390676,0.16251979042967624,0.13860142276466883,0.662795419215137,0.7919904093618285,ctx-rh-precentral
6,2026,0.18597718738617944,0.19482045598717218,0.15544960251541262,0.1415919495728308,0.09280926607758261,0.671983552992765,0.8018277924672854,ctx-rh-rostralanteriorcingulate
6,2027,0.16586986439498685,0.18237056108616048,0.1464080757461942,0.17006645037616225,0.12072132744498625,0.6660577471041575,0.7954850552251613,ctx-rh-rostralmiddlefrontal
6,2035,0.14874532453934622,0.17238961667860767,0.15043612703372922,0.20461093055124188,0.102533779418294,0.6659557549910069,0.7953758038312464,ctx-rh-insula
7,2007,0.1713029952021739,0.17197334387372348,0.18112041079216706,0.17137006220846274,0.0513094123170906,0.6633203945081473,0.7925528058398937,ctx-rh-fusiform
7,2016,0.15476081003804104,0.15846811082795267,0.1797703989001165,0.17654495165616774,0.09521259033301654,0.6631108393506624,0.7923285443837366,ctx-rh-parahippocampal
7,2017,0.13223915576049253,0.12623280837100015,0.1327834772202222,0.2291214677694797,0.14496150217620912,0.6629061495707482,0.7921081807687903,ctx-rh-paracentral
7,2018,0.16102205614807868,0.14444479325307674,0.13861153614773342,0.21519350882933352,0.11594291245548417,0.6625771104834647,0.7917566753340244,ctx-rh-parsopercularis
7,2022,0.1408615013207961,0.16333490482875637,0.18133205840420918,0.1958340929280353,0.10680708525437715,0.6578628651775232,0.7867033603627404,ctx-rh-postcentral
7,2023,0.15786273919024885,0.13350288409652564,0.14908465349355765,0.20209830133889695,0.12465265703169676,0.6622530455544551,0.7914092137182225,ctx-rh-posteriorcingulate
7,2024,0.15152989631303757,0.14270525933729858,0.15036625864381242,0.2040807640791422,0.12715239714183196,0.6631523670489408,0.7923723581987109,ctx-rh-precentral
7,2027,0.16180868332962395,0.14111771110755905,0.14410597800440256,0.20007929874381325,0.13437507127530637,0.6625587266560409,0.7917369671579491,ctx-rh-rostralmiddlefrontal
7,2030,0.16822132394028758,0.15492990208927832,0.15844621125354813,0.18657793855723986,0.10358401219222677,0.6632410727957706,0.7924676626397844,ctx-rh-superiortemporal
7,2031,0.1600086510490817,0.17134222731529145,0.17380510865506008,0.1814831922668115,0.05908634891141553,0.6630281016870873,0.792239768105479,ctx-rh-supramarginal
7,2034,0.15981650507985082,0.15091499368134412,0.1761900589144338,0.18497445057401793,0.10212065287605777,0.6605127951130632,0.7895441689755875,ctx-rh-transversetemporal
7,2035,0.17107142472294573,0.14055681096329917,0.14642360424870354,0.199241623943458,0.11420465394865684,0.6633570363016033,0.792591768313376,ctx-rh-insula
8,17,0.1990868422390977,0.1675845011949321,0.15430495329886765,0.14606663140094614,0.11629151376112469,0.6628472725349412,0.7920458446874763,Left-Hippocampus
8,1015,0.16889177531756772,0.17410636901063398,0.2054548425105048,0.16588595241059517,0.053864960192860654,0.671050890369386,0.8008301017178315,ctx-lh-middletemporal
8,1017,0.17000811348788905,0.18852396845107,0.11464264546428389,0.18496409037640424,0.1150491258089439,0.6623322861306569,0.7914943390609716,ctx-lh-paracentral
8,1020,0.19111062841996612,0.16375754336908294,0.1388349569009851,0.18832760000214224,0.08876414168829674,0.6611549771815071,0.7902326710522722,ctx-lh-parstriangularis
8,1024,0.1715204465888748,0.17006418585298835,0.14525644573263838,0.19537218041008572,0.08976016149141648,0.6699452318323743,0.7996469100553467,ctx-lh-precentral
8,1027,0.18166821314730414,0.1612165487662555,0.15057283694697443,0.17847997463955834,0.1023677913101675,0.6649349001414088,0.7942824972155887,ctx-lh-rostralmiddlefrontal
8,1028,0.19856521296216093,0.16907850279246334,0.13569747725165288,0.15549713568047985,0.10113354887120643,0.6630145792660327,0.7922252584757203,ctx-lh-superiorfrontal
8,1035,0.19495969951179792,0.1535893871806822,0.15178152357447172,0.16459792086218628,0.10782471136585539,0.663145500351478,0.7923654590773761,ctx-lh-insula
9,2003,0.16666054472663633,0.16832929601996763,0.14376181421304263,0.16371529455927164,0.1365642769467028,0.6607208712836693,0.7897672292406014,ctx-rh-caudalmiddlefrontal
9,2017,0.14222163338991037,0.1729382693650298,0.12580540648943114,0.19105138710221348,0.13467950512972957,0.6664060245350942,0.7958578232067923,ctx-rh-paracentral
9,2022,0.1458068099330699,0.15855353955207732,0.17427564014737412,0.17583972158068198,0.13668970041962178,0.662842283252807,0.7920408035860792,ctx-rh-postcentral
9,2023,0.1535843578665297,0.17638432635553503,0.1369264568340019,0.17499057848940075,0.1384402343207601,0.6648626109119429,0.7942051449695762,ctx-rh-posteriorcingulate
9,2024,0.1458735986824811,0.165482645215667,0.15114075039791244,0.1781296391367884,0.14301492688898718,0.6626871505516579,0.7918737088380537,ctx-rh-precentral
9,2027,0.16828532974667776,0.17313605038234398,0.13772200548822916,0.15740065968575156,0.12255185851878697,0.660006565892811,0.7890017285179757,ctx-rh-rostralmiddlefrontal
9,2028,0.15842895031408827,0.18001561345143677,0.14154451696909134,0.17048848415154053,0.1198402759723545,0.6608184287110422,0.7898718401688053,ctx-rh-superiorfrontal
