roiNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,roi
11,-0.0949888998574003,-0.07699820242808132,4.352504266076031,23.25,0.19420562496625315,-0.0009623087348611514,0.8240495624678286,603.0,0.0044020714612772105,68.5,0.35706213419843025,11.5,0.244017094017094,-0.09240808823529414,-0.08395220588235291,0.8512403517634423,116.75,1.7562691134929986,0.4,0.355,0.2380546435200186,0.7168106272203272,Left-Caudate
12,-0.21386254607019597,-0.07772187835340644,4.771075061765456,16.0,0.26098414737676595,0.0037241356776195494,0.8098512145500895,461.8333333333333,0.004406276426454611,37.0,0.45870585620934623,7.666666666666667,0.40659340659340665,-0.057046568627451,-0.053621323529411784,0.9214363320939046,117.0,1.673542636062785,0.4066666666666667,0.3666666666666667,0.23578563027127095,0.6185478544815755,Left-Putamen
17,0.013042249709801411,-0.035764748805419216,8.508745554642317,30.729166666666664,0.3093775011017076,-1.7297278330942977e-05,0.7951879121013801,474.73958333333337,0.004238615111938853,80.40625,0.523452762061343,16.083333333333332,0.19598360430994083,-0.1055005361519608,-0.1126263786764706,0.9466105150525612,117.08333333333333,1.6112199281048751,0.41729166666666667,0.36625,0.13369601304416673,0.4880183542899986,Left-Hippocampus
18,0.09073350027125127,-0.43324875535385576,8.262503168915858,44.0,0.29194503280684475,6.738190786638181e-05,0.7915287888815354,1078.0,0.00487303009204532,99.0,0.629306766589539,19.0,0.15,-0.007573529411764701,0.05415441176470592,0.9514384058604324,117.0,1.5929877254294815,0.42,0.36,0.10584467436411621,0.45803405224842253,Left-Amygdala
51,-0.8429739409911761,-0.3034062586647214,5.075199523883688,37.0,0.18345501781276813,0.0006188166223331493,0.8227075520258843,50.0,0.006770463283774102,106.0,0.45957277621743187,17.0,0.1111111111111111,-0.1134926470588235,-0.08441176470588241,0.8576025215287313,116.0,1.7310270784267359,0.46,0.38,0.1767912858038318,0.6627850164948769,Right-Putamen
53,-0.13808370373848775,0.11840458152934827,8.163407733976014,31.083333333333332,0.2500785001409934,-0.0012689169324082707,0.8123538495477609,378.3333333333333,0.004111470294575992,82.18333333333332,0.4644452865205889,15.0,0.11104180348375395,-0.045226715686274524,-0.058074142156862775,0.9017658008515408,116.8,1.7030698013396361,0.41100000000000003,0.3596666666666667,0.12880325348947283,0.5487421554569785,Right-Hippocampus
54,0.39494955540788546,0.03314714780274822,4.685358177720629,14.5,0.17830503926644098,0.005832504093175448,0.8223031105228326,702.75,0.003826837322014425,37.25,0.3499055073800706,9.0,0.14453044375644994,-0.09772977941176471,-0.11066636029411764,0.780728342249609,117.0,1.7592644077836899,0.40750000000000003,0.36,0.22314626773775406,0.7291557098769093,Right-Amygdala
1001,-0.13911696007897623,-0.009231075420411895,5.245964365442825,16.9,0.2523210845617984,0.0029073125868601156,0.7976634311346422,441.6645833333333,0.0049852017948390625,40.581250000000004,0.4407232779593406,9.252083333333333,0.379252271835392,-0.0919914981617647,-0.06978186274509807,0.9218518616526032,124.06041666666667,1.649301660149531,0.36283333333333334,0.3621666666666667,0.2145128321159346,0.5893777432323498,ctx-lh-bankssts
1002,0.07801087151573717,0.03248651712535442,5.0222053094244465,16.291666666666664,0.24123611504034265,0.0005539131877080676,0.8117539279849009,420.98958333333337,0.0041742014858596865,44.05208333333333,0.4314399164030254,8.885416666666666,0.3322833569616658,-0.06589001225490197,-0.056176470588235314,0.9033381928832817,119.71875,1.6859724338580278,0.38333333333333336,0.35125,0.21859625701535337,0.6291256683878903,ctx-lh-caudalanteriorcingulate
1003,0.09610604581645475,0.005841637137094381,3.759637176563021,10.515277777777778,0.17171782741718375,-0.003909451971580408,0.8171014412824472,859.4000000000001,0.004258231748091701,34.59444444444444,0.3678944066811759,6.513888888888889,0.31072062197062195,-0.1230953839869281,-0.1370489174836601,0.8305781756181683,116.29444444444445,1.7451903670173472,0.4237777777777778,0.3844722222222222,0.27420705531784667,0.7226790280879479,ctx-lh-caudalmiddlefrontal
1005,-0.15645897620423696,0.128964294173096,3.897734446020618,12.0,0.24350520414684906,-0.006351035503019818,0.8067627521631492,108.16666666666667,0.004602367479414503,23.333333333333332,0.39013717391834685,5.0,0.6563492063492063,-0.04684436274509802,-0.04110906862745096,0.9289867375993109,116.66666666666667,1.6590868407198311,0.2366666666666667,0.2833333333333334,0.269724955203243,0.648613072962398,ctx-lh-cuneus
1007,-0.06267755456684874,-0.00811859184949403,4.751004805243948,13.347222222222221,0.27572356759549194,-0.00022349122374831751,0.7956498026815697,695.9166666666666,0.004836357711234051,35.01388888888889,0.43744632899929153,6.75,0.5025938953022286,-0.11420036764705882,-0.1147763480392157,0.941689690401169,119.90277777777779,1.6270553614060708,0.315,0.34972222222222227,0.23719710564901306,0.5806239414319426,ctx-lh-fusiform
