mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
-39.17195,-30.062150000000003,-12.4923603952465,-39.17195,-30.062150000000003,-12.4923603952465,17,5,Hip_L,Subcortical,1
-50.09335,-31.79585,-14.04029646456545,-50.09335,-31.79585,-14.04029646456545,1009,22,InTem_L,Temporal,1
-55.6613,-32.38985,-14.865935719411,-55.6613,-32.38985,-14.865935719411,1009,22,InTem_L,Temporal,1
-29.4375,-54.1953,-16.0640467719099,-29.4375,-54.1953,-16.0640467719099,1007,20,Fusi_L,Temporal,1
-35.178700000000006,-56.2483,-18.35343289454495,-35.178700000000006,-56.2483,-18.35343289454495,1007,20,Fusi_L,Temporal,1
-40.431650000000005,-57.68405,-20.1713712069723,-40.431650000000005,-57.68405,-20.1713712069723,1007,20,Fusi_L,Temporal,1
-45.70205,-58.814099999999996,-21.33846440725095,-45.70205,-58.8141,-21.33846440725095,1007,20,Fusi_L,Temporal,1
-51.1827,-59.9777,-20.9849047952865,-51.1827,-59.9777,-20.9849047952865,1009,22,InTem_L,Temporal,1
-56.84915,-60.01275,-20.156396042230902,-56.84915,-60.01275,-20.156396042230902,1009,22,InTem_L,Temporal,1
-46.9292,-52.48975,27.618875993013,-46.9292,-52.48975,27.618875993013,1008,21,InPar_L,Parietal,1
-58.2906,-51.2585,25.68950395367025,-58.2906,-51.2585,25.68950395367025,1031,44,SpMar_L,Parietal,1
-9.812370000000001,33.6507,10.3681840146057,-9.81237,33.6507,10.3681840146057,1026,39,RACg_L,Cingulate,1
-3.63434,19.139850000000003,-10.08407528905613,-3.63434,19.139850000000003,-10.08407528905613,1014,27,MObFr_L,Frontal,1
-5.57884,21.03575,-5.580392079340545,-5.57884,21.03575,-5.580392079340545,1026,39,RACg_L,Cingulate,1
-8.57192,22.3639,-0.8994057399556751,-8.57192,22.3639,-0.8994057399556751,11,2,Cau_L,Subcortical,1
20.8961,-2.711585,-23.64731008902175,20.8961,-2.711585,-23.64731008902175,54,13,Amy_R,Subcortical,0
25.931,-2.46151,-23.9623778063226,25.931,-2.46151,-23.9623778063226,54,13,Amy_R,Subcortical,0
31.610400000000002,-1.88545,-24.7827904440161,31.6104,-1.88545,-24.7827904440161,54,13,Amy_R,Subcortical,0
53.709649999999996,1.15381,-28.88818775036255,53.70965,1.15381,-28.88818775036255,2015,62,MTem_R,Temporal,0
25.7351,-16.4121,-22.01911263078565,25.7351,-16.4121,-22.01911263078565,53,12,Hip_R,Subcortical,0
30.640050000000002,-15.49095,-22.99397622030515,30.64005,-15.49095,-22.99397622030515,53,12,Hip_R,Subcortical,0
35.8163,-15.362200000000001,-24.9609501981856,35.8163,-15.3622,-24.9609501981856,2007,54,Fusi_R,Temporal,0
40.80735,-15.1023,-25.31714778081225,40.80735,-15.1023,-25.31714778081225,2007,54,Fusi_R,Temporal,0
50.6105,-13.7757,-25.91962898897005,50.6105,-13.7757,-25.91962898897005,2009,56,InTem_R,Temporal,0
57.527100000000004,-13.60975,-25.8438676770378,57.5271,-13.60975,-25.8438676770378,2009,56,InTem_R,Temporal,0
31.286649999999998,-39.95995,-9.042535118006956,31.28665,-39.95995,-9.042535118006956,2016,63,ParHip_R,Temporal,0
35.8991,-43.281400000000005,-8.44406934210305,35.8991,-43.281400000000005,-8.44406934210305,2007,54,Fusi_R,Temporal,0
49.2493,-48.1414,-3.465681745924355,49.2493,-48.1414,-3.465681745924355,2009,56,InTem_R,Temporal,0
54.4925,-50.4059,-0.5444554742092356,54.4925,-50.4059,-0.5444554742092356,2015,62,MTem_R,Temporal,0
33.360600000000005,-61.60965,-11.82797426514785,33.360600000000005,-61.60965,-11.82797426514785,2007,54,Fusi_R,Temporal,0
39.25555,-64.3078,-9.903008558678275,39.25555,-64.3078,-9.903008558678277,2007,54,Fusi_R,Temporal,0
45.46665,-67.04310000000001,-7.165074183048075,45.46665,-67.04310000000001,-7.165074183048075,2011,58,LOcc_R,Occipital,0
49.283950000000004,-69.57265000000001,-4.722892911549265,49.28395,-69.57265000000001,-4.722892911549265,2011,58,LOcc_R,Occipital,0
52.23355,-73.0228,-1.8584020027481452,52.23355,-73.0228,-1.8584020027481452,2011,58,LOcc_R,Occipital,0
45.3851,-49.7984,28.8159280665216,45.3851,-49.7984,28.8159280665216,2008,55,InPar_R,Parietal,0
51.8703,-48.69775,29.64087585451885,51.8703,-48.69775,29.64087585451885,2008,55,InPar_R,Parietal,0
58.2913,-48.11195,30.20202857911965,58.2913,-48.11195,30.20202857911965,2031,78,SpMar_R,Parietal,0
