aperiodic_offset,aperiodic_exponent,r_squared,error,num_peaks,electrode
4.276007882273503,56.24707518531361,0.9841798543505581,0.05285187882293054,2,hup_elec_755
4.071812844881094,4.6505929523331515,0.997095949050792,0.03486260647246924,6,hup_elec_756
3.867808525480453,4.39761151399286,0.9965017263211862,0.03625307993189588,6,hup_elec_757
3.3707224164493508,11.522666085145048,0.9962089384885011,0.04172615800259176,5,hup_elec_758
4.143965469126473,22.873509234211785,0.9900600510618559,0.05026895747536964,2,hup_elec_759
4.414447341349378,44.447667970141104,0.9939237883395343,0.04785063250474906,3,hup_elec_760
4.271662488897972,46.61080046577919,0.9938445183720495,0.04369538748941704,5,hup_elec_761
4.143965469126473,22.873509234211785,0.9900600510618559,0.05026895747536964,2,hup_elec_762
4.414447341349378,44.447667970141104,0.9939237883395343,0.04785063250474906,3,hup_elec_763
4.271662488897972,46.61080046577919,0.9938445183720495,0.04369538748941704,5,hup_elec_764
4.829478914800147,95.29764890096168,0.9948684075611127,0.043225948738922285,5,hup_elec_765
2.8889030995569662,3.2348175983609813,0.9937033481842278,0.045482913444698306,5,hup_elec_766
2.587177848759226,2.190361583606925,0.9902679750135798,0.05248000322302662,4,hup_elec_767
3.9711101461318488,16.07187182090089,0.9961786724156353,0.04794762426630464,5,hup_elec_768
3.4062350374177077,1.1477331095114849,0.9921595601246688,0.07724965940654901,3,hup_elec_769
4.131139520213714,4.6929240341600185,0.9893315368576373,0.06284462514224197,3,hup_elec_770
5.268314177789145,2821.20656167887,0.9631094427251886,0.08467127994822288,4,hup_elec_771
4.45420957461606,370.7134691118189,0.9944841404732477,0.04449119399125456,5,hup_elec_772
4.625785770011387,7.336680517410577,0.9973340061433061,0.03949372237622742,3,hup_elec_773
3.868117929425047,10.701337449637482,0.9951192582005907,0.04463606544108312,3,hup_elec_774
2.046105493788185,0.6710296470457403,0.9860035253321686,0.048563269326064536,5,hup_elec_775
5.568221981940544,5579.306293950183,0.9907853591759649,0.050196660007585686,4,hup_elec_776
3.665320336496694,106.30245692769573,0.9889687601662436,0.05401470518610711,2,hup_elec_777
4.851544230074594,1738.7141411013358,0.9939296484610385,0.045974093786457254,5,hup_elec_778
4.734902092864526,2180.1877932252683,0.9858771810581342,0.08756331104346726,2,hup_elec_779
4.163803696288362,5464.1043808800005,0.9885661883409916,0.06602393255299106,3,hup_elec_780
4.303008855730897,452.60721984226245,0.9706581353106853,0.0766096114502853,3,hup_elec_781
3.9166783775008946,22.64255573960292,0.9952974367803099,0.03408797673382939,6,hup_elec_782
4.242338244459359,15.783212098731896,0.9899042345827491,0.04788222255871915,3,hup_elec_783
2.6777706944763637,4.957312181200735,0.9906676246702161,0.04255583817864081,5,hup_elec_784
3.890676516881685,20.358772647033987,0.9681511213251961,0.08101202271977355,2,hup_elec_785
4.200543133015725,10.56682461296825,0.9936039434179548,0.040268091679391854,6,hup_elec_786
3.5896971013906906,307.2361173610331,0.9838511868251112,0.06665864685227728,4,hup_elec_787
4.6213154838086075,5408.433097512088,0.9848724063396705,0.07352723112526077,4,hup_elec_788
5.177763657969114,17494.252318465737,0.9799365033386449,0.08490649061270515,5,hup_elec_789
7.045794502868449,181396.86696100057,0.9939217045934456,0.045975531096839405,5,hup_elec_790
