DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,electrode
1.0747010457910677,0.4653485922797652,3.290362222004915,7,0.14861211242867098,0.005781121819474104,0.8246194573130378,801.0,0.004649230979362344,12,0.22542318763586583,5.0,0.5,-0.2194117647058823,-0.16360294117647056,0.8735159569445914,13.0,1.7686231102698124,0.62,0.66,0.3405437349106348,0.7446649286606954,mni_elec_0
-0.852014053585842,-0.04666611596485826,3.250863016319155,6,0.09482988377012369,-0.03316209916185566,0.8233693653945143,73.0,0.004308676547594654,12,0.15895296833251243,5.0,0.05357142857142857,-0.21959558823529407,-0.16003676470588235,0.8408879003790759,13.0,1.7642312663346442,0.62,0.58,0.32213596545600587,0.7564952464205519,mni_elec_1
-0.14017611650655937,0.51670064686654,3.200849955449608,7,0.09528631379487762,-0.021400982697919138,0.8224134127509376,60.0,0.006577188172236125,12,0.21450062391293562,6.0,0.06382978723404255,-0.12624999999999997,-0.10301470588235295,0.8437044390896519,12.0,1.7776897121131627,0.6,0.58,0.34706315325914916,0.7609834278265031,mni_elec_2
0.7470358320114177,0.13222602038313191,3.760890343832892,7,0.1857656122594902,-0.01345502408149735,0.8055004044415031,799.0,0.0011465680040081698,12,0.27619139338813736,6.0,0.0410958904109589,-0.143014705882353,-0.22448529411764706,0.924409181088819,15.0,1.674629238075546,0.7,0.64,0.2814854745770337,0.6697048919345225,mni_elec_3
0.26689875453627876,-0.13576628904423654,6.3591005711626565,16,0.20883281800971903,0.0005906995138093009,0.8293256857121847,86.0,0.0016958320541496721,35,0.37068198546193565,15.0,0.022222222222222223,-0.07470588235294118,-0.0988970588235294,0.8350264571976408,11.0,1.7822275887541437,0.68,0.6,0.1629854587128601,0.6691218752720732,mni_elec_4
0.17513737184668288,-0.20087561056366965,5.789226226532927,22,0.18474744836070772,-0.001949546549664016,0.8338848444738584,64.0,0.004905355493998153,36,0.3447295602213891,21.0,0.02247191011235955,-0.13279411764705884,-0.15625,0.8025143942942864,11.0,1.8238179669679357,0.6,0.64,0.17755827619777467,0.705855677771176,mni_elec_5
0.39486649726423706,0.01442107186858299,30.90252584834012,96,0.33199854858406586,-0.0005993688876582936,0.8113831899404368,173.0,0.003903126709590541,314,0.5284017771582891,40.0,0.02631578947368421,-0.0746691176470588,-0.09154411764705883,0.908288200998838,10.0,1.6711150970515272,0.6,0.54,0.03604854851531494,0.5127751913350742,mni_elec_6
-0.14943538164108738,0.23987470513353293,4.942375114291893,18,0.1935699355795547,0.005117287435130973,0.8327082873740717,817.0,0.0022425608451153147,21,0.38659793091123085,17.0,0.03571428571428571,-0.09375,-0.10150735294117647,0.8231068469163749,13.0,1.7972758395833925,0.56,0.5,0.19903400722817505,0.7022203989134796,mni_elec_7
0.0325461272945019,-0.387424727863617,3.1260475253241595,4,0.10343633141010418,-0.0036542766176965993,0.8425619530847857,799.0,0.0051211337738197825,24,0.3061243937483328,3.0,0.043478260869565216,-0.1715441176470588,-0.1657352941176471,0.7030689091707855,10.0,1.8971564807042443,0.46,0.74,0.24773789724354736,0.8166048625266856,mni_elec_8
-0.2184217781786878,0.1925799991977865,2.460688673330457,4,0.07351864872175354,0.029824104203471258,0.8452092065593059,799.0,0.004224678499309172,5,0.2703893743169451,3.0,0.02857142857142857,-0.11852941176470588,-0.11205882352941177,0.6395554540474416,9.0,1.9422897279415992,0.56,0.64,0.30372819600137696,0.8823561623778006,mni_elec_9
-0.11429491995350638,0.31329031568562815,3.1078052207460027,6,0.13367204489166787,-0.004182178339984188,0.8342525185675417,801.0,0.003330307912764695,9,0.3176368160725276,5.0,0.05555555555555555,-0.0963235294117647,-0.07529411764705884,0.757922281509722,10.0,1.8223796614893821,0.6,0.56,0.2611602291375476,0.7911885807297685,mni_elec_10
-0.2232496145284093,0.2583675074825659,3.2621295054952872,6,0.1243166883024899,-0.006144191215504887,0.8298404294433415,800.0,0.0018157958984374998,10,0.3182672823522936,5.0,0.03773584905660377,-0.1348161764705882,-0.14856617647058823,0.7907421582241497,11.0,1.8082218672566641,0.6,0.54,0.2772670274103479,0.7771314483581488,mni_elec_11
-0.7500103966512688,-0.3281354778751675,2.8718901518976985,6,0.15419058325959153,0.0010709990001839013,0.8296933598058681,799.0,0.0038906749739747457,12,0.3561455496476476,4.0,0.3333333333333333,-0.059705882352941164,-0.10080882352941178,0.801632663518997,12.0,1.8105730201994694,0.62,0.54,0.4084223847745789,0.8089454333670948,mni_elec_12
0.9268993942745632,0.4344079038706777,3.095066342525559,7,0.17052995392998668,-0.003818259414628858,0.8260901536877712,55.0,0.0050940347176185565,12,0.29096590840866743,4.0,0.6,-0.1789705882352941,-0.1628676470588235,0.8777599344194489,13.0,1.764266403095811,0.62,0.56,0.3854126729562927,0.7643840491891084,mni_elec_13
-0.08429165875107292,0.43091959328834684,6.400790325280511,16,0.30826241526370324,0.002268740989511866,0.7815280535333481,50.0,0.004521496873196847,29,0.4691848047118497,9.0,0.6,-0.2567647058823529,-0.2518014705882353,0.9694388813129647,18.0,1.5748424525646083,0.26,0.6,0.1767912858038318,0.4546081947420318,mni_elec_14
0.32743520203105136,-0.18511090095415805,6.533077777958734,17,0.3197819221822434,0.0013184370304132696,0.7807927053459813,1199.0,0.0027975092421583555,31,0.6337275426190704,9.0,0.6,-0.3119852941176471,-0.2770955882352941,0.9715970435740031,23.0,1.5770814175274708,0.24,0.14,0.17333982903108888,0.44232527175292863,mni_elec_15
