roiNum,deltaRel,thetaRel,alphaRel,betaRel,gammaRel,broadRel,entropy_1min,entropy_fullts,roi
11,0.1856986065329837,0.16456432553104983,0.13004611570651162,0.16865254324309203,0.10769587845438108,0.2433425305319818,0.6620699872000286,0.7912130723612536,Left-Caudate
12,0.18260058714703523,0.16898642839245803,0.1742739202466582,0.14857847745879538,0.07834011511038667,0.24722047164466643,0.6614619437409619,0.7905615033681497,Left-Putamen
17,0.2081593690762173,0.17028793944680112,0.1483705750420212,0.14072011207326765,0.10372362588408089,0.22873837847761186,0.6639720341290964,0.793250080326292,Left-Hippocampus
18,0.21649142450629583,0.17920886954523055,0.1490865131606741,0.12736525002029994,0.08859256198493991,0.2392553807825596,0.6642688449947488,0.793569128458394,Left-Amygdala
51,0.2027647665842639,0.15625738582206755,0.13332236231630956,0.15569251842825776,0.10031130342284872,0.25165166342625256,0.6582039045949314,0.7870690614815395,Right-Putamen
53,0.19633239626666735,0.16853603757341337,0.1413780383912198,0.15081490959327565,0.12868307622614225,0.21425554194928154,0.6648585759637606,0.7942003176101016,Right-Hippocampus
54,0.18484271903303123,0.1742260795300675,0.12250791910897978,0.1606172199262732,0.12517457626135514,0.23263148614029316,0.6604658432458339,0.789493935037378,Right-Amygdala
1001,0.18690359324249148,0.18261005636585442,0.16205698788717648,0.15256013737223142,0.07680813782995395,0.2390610873022922,0.6670785100423251,0.7965770659014934,ctx-lh-bankssts
1002,0.18432998213256113,0.17267980955385084,0.15761299437118947,0.15718446688495374,0.08655084360885842,0.24164190344858638,0.6637594811766622,0.793023272042308,ctx-lh-caudalanteriorcingulate
1003,0.18046638695351042,0.16462883404055306,0.15048396022188304,0.17318276150992826,0.10155513120896772,0.22968292606515747,0.6644837680071799,0.7937988536539318,ctx-lh-caudalmiddlefrontal
1005,0.14323272416626437,0.1735848214301284,0.19365077512529297,0.16650868637473418,0.10370164710193781,0.2193213458016423,0.6631096481332555,0.7923251946129533,ctx-lh-cuneus
1007,0.17670595100909847,0.18827170609046825,0.1711521599680456,0.15350576839835212,0.07680944556366227,0.2335549689703733,0.6654411611172892,0.7948241597836662,ctx-lh-fusiform
1008,0.18002076746254986,0.16262251034123987,0.16724999920791087,0.16665650821292774,0.08561641207566917,0.2378338026997025,0.667090095605906,0.7965885748459408,ctx-lh-inferiorparietal
1009,0.194464624502131,0.1757698733413027,0.17249934800068026,0.14972297791265207,0.06835974448654059,0.23918343175669332,0.6668081918624138,0.7962878943949728,ctx-lh-inferiortemporal
