patient_id,roiNum,deltaRel_mean,thetaRel_mean,alphaRel_mean,betaRel_mean,gammaRel_mean,entropy_1min_mean,entropy_fullts_mean,roi
1,51,0.19916911993118516,0.17314415971308567,0.13110738982913758,0.14775991144431144,0.07289227991874467,0.6589280106666341,0.7878454068446017,Right-Putamen
1,53,0.1959349855580389,0.15824472957496666,0.15512532783840022,0.1552560288432154,0.11532433745103376,0.6633244675422387,0.7925568444867124,Right-Hippocampus
1,1027,0.17792371346278002,0.14731084257328236,0.13558825209659628,0.1732112799059262,0.13911362063778512,0.6604966980654687,0.7895271165721887,ctx-lh-rostralmiddlefrontal
1,2012,0.19500390351484156,0.17438735294331073,0.14328818355566272,0.1604747471650423,0.08896789380880782,0.6618711193124713,0.7910001569250865,ctx-rh-lateralorbitofrontal
1,2016,0.182530090472953,0.16677786227551825,0.1830506089581734,0.1518561289428534,0.09234065061536183,0.6691657180700474,0.798812606615568,ctx-rh-parahippocampal
1,2027,0.22139027548821458,0.2005232172908128,0.1214168728840026,0.1332157207518453,0.05813375656419904,0.6625261267388393,0.7917019106279912,ctx-rh-rostralmiddlefrontal
1,2028,0.2106905069847154,0.2310011747005734,0.09800521533026874,0.12933103155453443,0.048089880211882687,0.6640820096082587,0.7933689856251221,ctx-rh-superiorfrontal
1,2035,0.18632052463249862,0.18092548675053505,0.1487928438603428,0.16579933068279326,0.09850635787409279,0.6600620383759918,0.7890611627368295,ctx-rh-insula
2,1003,0.18502000770071822,0.16737569621634948,0.15054671235792058,0.15941134992994552,0.11711224828941988,0.6796305023301398,0.8100002499612877,ctx-lh-caudalmiddlefrontal
2,1007,0.19891658127351938,0.17873658951660334,0.16224163887311494,0.14557162802991724,0.1006101964784529,0.6684672363924185,0.7980649412661233,ctx-lh-fusiform
2,1009,0.2025314565486567,0.17706383074400245,0.15476150683223097,0.14499540297877608,0.10233483912625617,0.6706881848420485,0.8004408285775959,ctx-lh-inferiortemporal
2,1014,0.21120256903497941,0.17944719746944232,0.14597734474730137,0.13483714783041076,0.10723098868546826,0.6790875178337135,0.8094239888550382,ctx-lh-medialorbitofrontal
2,1015,0.19721744290267826,0.1769792911037889,0.1530156341492888,0.14836897316625428,0.10641527480165137,0.6759901939318262,0.8061132014650004,ctx-lh-middletemporal
2,1018,0.1943650656605876,0.17595975845007264,0.14941300748344086,0.15072323559298076,0.11504656735153063,0.6668711315378707,0.7963558937375212,ctx-lh-parsopercularis
2,1019,0.20442181817991534,0.17964156338069232,0.15044085727785708,0.14150296786481337,0.10895594308470019,0.6772842863410161,0.8074966789816171,ctx-lh-parsorbitalis
2,1020,0.21327141819715523,0.17819923265353763,0.1435168781293751,0.1375201055470069,0.10454169002095853,0.6773684500215545,0.8075841854329995,ctx-lh-parstriangularis
2,1022,0.1945422154320366,0.1767735281503896,0.14472662159640431,0.15004526962065678,0.09503704422800724,0.6676594755711018,0.7971994857884173,ctx-lh-postcentral
2,1024,0.17987706618264415,0.16391747982501043,0.14291174145521598,0.16829646644796745,0.11543880248305387,0.6732927054010502,0.8032227575193185,ctx-lh-precentral
2,1027,0.1977820890250407,0.1790722107670259,0.1496477022466513,0.1443042093914691,0.10733764069866614,0.6761395443317244,0.8062645762994217,ctx-lh-rostralmiddlefrontal
2,1028,0.18052646741134298,0.17170658781594117,0.1478510990461523,0.15747601598605657,0.12903160515031,0.6632882948289077,0.7925182063765274,ctx-lh-superiorfrontal
2,1030,0.2204884830854102,0.19328249138526113,0.14067645209124732,0.13100443942852755,0.07883234288634397,0.6779807401454896,0.8082411174829919,ctx-lh-superiortemporal
2,1032,0.22151753896741738,0.17924578660969526,0.14175119336785386,0.1299340746681945,0.09932576538880869,0.6799451248126195,0.8103404139124041,ctx-lh-frontalpole
2,2023,0.17275316940615418,0.16984110907881833,0.15246832538098595,0.1652569567899917,0.1260643313732936,0.662166901894692,0.7913171191497188,ctx-rh-posteriorcingulate
2,2027,0.1879313190973152,0.1795934518042598,0.14783449663105358,0.14838922825118372,0.11894810393279581,0.6678483441303191,0.7974023988202651,ctx-rh-rostralmiddlefrontal
2,2028,0.19595510730649346,0.17888499784467046,0.14763026476426694,0.1454352730009006,0.11115487009498501,0.6721260544588623,0.801980172640796,ctx-rh-superiorfrontal
3,2001,0.12232712876436642,0.10541508514887106,0.24887084336707907,0.18635795593331747,0.07377102527080452,0.6776996431597968,0.8079406648773623,ctx-rh-bankssts
3,2003,0.13429159293180323,0.135648010010181,0.22338969790522717,0.17878500085881693,0.07156185551626715,0.6785379080482371,0.8088331003039612,ctx-rh-caudalmiddlefrontal
3,2008,0.1333845191323682,0.1308012143328851,0.21189537176036316,0.1838574735115719,0.1048854367177194,0.6874486451865602,0.8183485984375487,ctx-rh-inferiorparietal
3,2015,0.16736744716176757,0.15511125398881376,0.1910193010548377,0.16710988834993631,0.09816412019067047,0.6726146989993087,0.8024998671877209,ctx-rh-middletemporal
3,2018,0.14081671632060147,0.12439907872799265,0.24445285667650207,0.16735008341510882,0.04052255602055147,0.6769057319731911,0.8070912976165326,ctx-rh-parsopercularis
3,2020,0.128439637041038,0.13757904436814786,0.23086718879776852,0.17444207185939825,0.04847202640057764,0.6750064527668299,0.8050613208955926,ctx-rh-parstriangularis
3,2022,0.12635433330723747,0.10889963999171963,0.2468935070268119,0.18047395138893285,0.04139281683972259,0.6673476916650847,0.7968654416785933,ctx-rh-postcentral
3,2024,0.13268264317694006,0.12018375340880413,0.24619933608676403,0.16866316351564986,0.035231121138700264,0.6700722699739495,0.7997822602740486,ctx-rh-precentral
